#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-11-16T15:36:15 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ582c7cc35ff2 
#INFO -out.max=unlimited 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/131/2766&tab:{J/AJ/131/2766/table6}&key:source=J/AJ/131/2766/table6&HTTPPRM:&&-ref=VIZ582c7cc35ff2&-out.max=200&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/AJ/131/2766/table6&-out=z&-out=iMAG&-out=logPhi&-out=errPhi&-out=Fill&-out=<z>&-out=NQ&-out=NQcor&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-order=I
#-out.src=J/AJ/131/2766/table6
#-source=J/AJ/131/2766/table6
#-order=I
#-out=z
#-out=iMAG
#-out=logPhi
#-out=errPhi
#-out=Fill
#-out=<z>
#-out=NQ
#-out=NQcor
#

#RESOURCE=yCat_51312766
#Name: J/AJ/131/2766
#Title: Quasar luminosity function from SDSS-DR3 (Richards+, 2006)
#Table J_AJ_131_2766_table6:
#Name: J/AJ/131/2766/table6
#Title: Binned quasar luminosity function
#---Details of Columns:
#     z                        (F5.2)  Redshift bin [ucd=src.redshift]
#     iMAG (mag)               (F6.2)  Absolute i band magnitude at z=2 [ucd=phys.magAbs]
#     logPhi ([Mpc-3.mag-1])   (F5.2)  Log of the space density [ucd=phys.luminosity.fun]
#     errPhi (10-9Mpc-3.mag-1) (F7.2)  Error in the space density [ucd=stat.error]
#     Fill                     (I1)    [0/1] Indicator of whether the bin is completely covered by data (1=yes, 0=no) [ucd=meta.code]
#     <z>                      (F5.2)  Mean redshift of quasars in the bin [ucd=src.redshift]
#     NQ                       (I3)    Number of quasars in the bin [ucd=meta.number]
#     NQcor                    (F5.1)  Corrected number of quasars in bin (1) [ucd=meta.number]
# ----- ------ ----- ------- - ----- --- -----
#              lo                             
#              gPhi  err     F                
#              ([Mpc Phi (10 i                
#       iMAG   -3.ma -9Mpc-3 l                
# z     (mag)  g-1]) .mag-1) l <z>   NQ  NQcor
# ----- ------ ----- ------- - ----- --- -----
 0.49 -26.25 -7.74    5.48 1  0.59  11  11.6
 0.49 -25.95 -7.46    7.55 1  0.58  21  22.2
 0.49 -25.65 -7.26    9.47 1  0.58  33  34.8
 0.49 -25.35 -7.07   11.90 1  0.55  52  54.9
 0.49 -25.05 -6.81   16.01 1  0.56  94  99.3
 0.49 -24.75 -6.59   20.52 1  0.58 154 163.0
 0.49 -24.45 -6.42   24.94 1  0.57 228 241.0
 0.49 -24.15 -6.23   35.98 0  0.54 337 358.2
 0.49 -23.85 -6.08   43.96 0  0.51 358 377.2
 0.49 -23.55 -5.97   75.48 0  0.45 311 331.3
 0.49 -23.25 -5.81  102.81 0  0.41 290 307.2
 0.49 -22.95 -6.35  174.24 0  0.41  39  46.9
 0.87 -27.45 -8.39    1.81 1  0.95   5   5.3
 0.87 -27.15 -7.81    3.53 1  0.95  19  20.0
 0.87 -26.85 -7.63    4.36 1  0.95  29  30.5
 0.87 -26.55 -7.29    6.48 1  0.94  64  67.4
 0.87 -26.25 -6.96    9.38 1  0.91 134 141.2
 0.87 -25.95 -6.84   10.84 1  0.92 179 188.5
 0.87 -25.65 -6.62   13.87 1  0.92 293 308.6
 0.87 -25.35 -6.42   17.57 1  0.93 470 495.1
 0.87 -25.05 -6.30   24.49 0  0.89 492 520.0
 0.87 -24.75 -6.23   51.36 0  0.78 284 307.6
 0.87 -24.45 -6.13  100.79 0  0.73 122 133.7
 0.87 -24.15 -5.86 1446.59 0  0.74   9  13.8
 1.25 -28.05 -8.15    2.06 1  1.31  12  12.6
 1.25 -27.75 -7.86    2.85 1  1.32  23  24.2
 1.25 -27.45 -7.76    3.20 1  1.27  29  30.5
 1.25 -27.15 -7.36    5.07 1  1.30  73  76.8
 1.25 -26.85 -7.08    7.00 1  1.30 139 146.3
 1.25 -26.55 -6.83    9.37 1  1.29 249 262.1
 1.25 -26.25 -6.58   12.44 1  1.29 439 462.1
 1.25 -25.95 -6.33   16.62 1  1.28 783 824.2
 1.25 -25.65 -6.24   22.56 0  1.23 733 773.5
 1.25 -25.35 -6.12   48.01 0  1.13 360 382.8
 1.25 -25.05 -5.74 1332.39 0  1.09  12  14.6
 1.63 -28.65 -8.25    1.70 1  1.66  11  11.6
 1.63 -28.35 -8.08    2.06 1  1.67  16  16.8
 1.63 -28.05 -7.78    2.91 1  1.68  32  33.7
 1.63 -27.75 -7.39    4.57 1  1.66  79  83.2
 1.63 -27.45 -7.12    6.23 1  1.67 147 154.7
 1.63 -27.15 -6.86    8.43 1  1.66 269 283.2
 1.63 -26.85 -6.63   10.94 1  1.65 453 476.8
 1.63 -26.55 -6.40   14.35 1  1.66 779 820.0
 1.63 -26.25 -6.26   19.09 0  1.62 892 940.9
 1.63 -25.95 -6.14   38.86 0  1.52 477 506.0
 2.01 -28.95 -8.41    1.37 1  1.99   8   8.4
 2.01 -28.65 -7.94    2.37 1  2.02  24  25.3
 2.01 -28.35 -7.75    2.94 1  2.02  37  39.0
 2.01 -28.05 -7.37    4.53 1  2.01  88  92.7
 2.01 -27.75 -7.15    5.86 1  2.03 147 155.0
