#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-11-16T15:22:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ582c79556c5c 
#INFO -out.max=unlimited 
#INFO queryParameters=15 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/131/2766/table5
#-nav=cat:J/AJ/131/2766&tab:{J/AJ/131/2766/table5}&key:source=J/AJ/131/2766/table5&HTTPPRM:&&-ref=VIZ582c79556c5c&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=z&-out=imag&-out=iMAG&-out=Cor&-ignore=SDSS=*&SDSS=SDSS&NED=NED&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/131/2766/table5
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/131/2766/table5
#-order=I
#-out=z
#-out=imag
#-out=iMAG
#-out=Cor
#

#RESOURCE=yCat_51312766
#Name: J/AJ/131/2766
#Title: Quasar luminosity function from SDSS-DR3 (Richards+, 2006)
#Table J_AJ_131_2766_table5:
#Name: J/AJ/131/2766/table5
#Title: Statistical quasar sample
#---Details of Columns:
#     z          (F6.3)  Redshift [ucd=src.redshift]
#     imag (mag) (F5.2)  Dereddened i band magnitude [ucd=phot.mag;em.opt.I]
#     iMAG (mag) (F6.2)  Absolute i band magnitude at z=2 [ucd=phys.magAbs]
#     Cor        (F5.2)  [0,1] Selection function value [ucd=meta.note]
# ------ ----- ------ -----
#        imag  iMAG        
# z      (mag) (mag)  Cor  
# ------ ----- ------ -----
 1.199 19.08 -25.40  0.95
 2.240 18.18 -27.86  0.93
 0.460 19.09 -23.21  0.95
 0.949 19.05 -25.02  0.95
 0.989 18.99 -25.15  0.95
 0.768 18.89 -24.74  0.95
 1.411 19.02 -25.82  0.95
 0.453 18.91 -23.36  0.95
 0.404 18.45 -23.61  0.95
 1.924 18.85 -26.73  0.95
 0.530 18.75 -23.89  0.95
 0.399 18.90 -23.14  0.95
 1.790 18.01 -27.37  0.95
 1.272 18.92 -25.69  0.95
 1.272 18.74 -25.87  0.95
 1.823 18.44 -26.98  0.95
 3.675 19.47 -27.67  0.84
 0.901 18.98 -24.99  0.95
 1.568 18.89 -26.15  0.95
 0.792 18.88 -24.82  0.95
 0.476 19.09 -23.29  0.95
 3.199 20.20 -26.66  0.64
 1.148 18.99 -25.41  0.95
 0.858 17.73 -26.13  0.95
 3.686 19.35 -27.80  0.85
 0.441 17.42 -24.79  0.95
 0.604 18.95 -24.00  0.94
 1.520 19.59 -25.37  0.00
 1.678 18.87 -26.35  0.95
 1.392 17.87 -26.95  0.95
 1.299 19.08 -25.59  0.95
 1.636 18.98 -26.17  0.95
 1.399 19.10 -25.73  0.95
 2.064 18.64 -27.16  0.95
 1.138 17.98 -26.40  0.95
 3.501 19.71 -27.33  0.51
 1.240 18.64 -25.92  0.95
 1.968 18.87 -26.79  0.95
 1.432 19.02 -25.85  0.95
 0.757 18.39 -25.21  0.95
 1.032 18.97 -25.25  0.95
 0.739 18.51 -25.02  0.95
 1.691 18.52 -26.72  0.95
 1.244 18.70 -25.87  0.95
 1.518 18.86 -26.10  0.95
 3.151 18.81 -28.01  0.83
 0.901 19.05 -24.92  0.95
 0.729 17.18 -26.32  0.94
 0.686 18.54 -24.78  0.91
 0.381 18.82 -23.12  0.95
 1.732 18.75 -26.55  0.95
 4.967 18.16 -29.64  0.95
 1.363 19.10 -25.67  0.95
 4.325 19.95 -27.69  0.95
 1.886 18.56 -26.96  0.95
 1.332 18.87 -25.85  0.95
 1.196 17.46 -27.02  0.95
 2.522 18.93 -27.43  0.66
 3.187 19.45 -27.40  0.76
 1.706 18.80 -26.46  0.95
 1.395 18.54 -26.28  0.95
 2.210 18.68 -27.32  0.93
 1.271 19.01 -25.60  0.95
 1.569 18.84 -26.20  0.95
 3.575 18.84 -28.23  0.79
 1.541 18.47 -26.52  0.95
 0.825 18.29 -25.49  0.95
 1.933 19.09 -26.52  0.95
 1.684 18.77 -26.45  0.95
 1.262 18.43 -26.17  0.95
 2.175 19.05 -26.91  0.94
 1.187 18.49 -25.97  0.95
 1.479 18.71 -26.21  0.95
 3.211 18.73 -28.14  0.85
 0.834 18.80 -25.01  0.95
 1.326 18.85 -25.86  0.95
 1.257 18.97 -25.62  0.95
 1.808 17.52 -27.88  0.95
 0.514 16.78 -25.79  0.95
 3.955 19.80 -27.55  0.92
 0.985 18.73 -25.41  0.95
 0.560 19.02 -23.76  0.95
 4.232 19.23 -28.31  0.94
 0.543 18.75 -23.94  0.95
 2.271 17.89 -28.20  0.89
 4.134 19.71 -27.76  0.94
 1.663 18.80 -26.40  0.95
 1.672 18.76 -26.45  0.95
 1.751 19.05 -26.27  0.95
 2.009 17.07 -28.66  0.95
 1.764 18.33 -27.01  0.95
 1.365 17.55 -27.22  0.95
 0.588 18.10 -24.79  0.95
 0.932 18.47 -25.57  0.95
 3.696 19.48 -27.67  0.84
 1.172 19.04 -25.39  0.95
 2.413 18.53 -27.72  0.72
 1.600 18.99 -26.10  0.95
 0.398 18.30 -23.73  0.95
 0.838 18.29 -25.53  0.95
 1.392 19.05 -25.77  0.95
 3.312 20.05 -26.90  0.70
 1.724 18.66 -26.62  0.95
 0.973 18.91 -25.21  0.95
 0.755 17.93 -25.65  0.95
 0.411 17.04 -25.04  0.95
 2.304 18.76 -27.37  0.78
 0.979 18.29 -25.84  0.95
 1.866 17.93 -27.55  0.95
 2.003 18.95 -26.76  0.95
 0.790 18.87 -24.82  0.95
 2.073 18.61 -27.20  0.95
 1.116 18.69 -25.66  0.95
 1.333 18.91 -25.82  0.95
 1.429 18.26 -26.61  0.95
 0.760 18.84 -24.77  0.95
 1.764 17.89 -27.46  0.95
 0.988 18.58 -25.56  0.95
 1.753 18.91 -26.42  0.95
 0.436 18.94 -23.25  0.95
 1.521 18.35 -26.62  0.95
 0.544 18.46 -24.24  0.95
 0.411 18.54 -23.54  0.95
 1.311 16.92 -27.76  0.95
 1.259 18.61 -25.98  0.95
 3.973 19.29 -28.07  0.94
 2.914 19.61 -27.03  0.17
 4.576 19.74 -27.97  0.95
 0.897 18.56 -25.40  0.95
 3.591 20.01 -27.07  0.47
 3.226 19.33 -27.55  0.80
 1.708 18.09 -27.17  0.95
 1.309 18.76 -25.92  0.95
 3.751 20.07 -27.13  0.92
 1.216 18.70 -25.81  0.95
 1.607 18.28 -26.83  0.95
 3.676 18.29 -28.85  0.93
 2.227 17.70 -28.33  0.93
 3.123 19.91 -26.90  0.64
 1.721 18.88 -26.40  0.95
 2.937 19.40 -27.26  0.18
 1.954 18.75 -26.89  0.95
 0.451 18.41 -23.85  0.95
 0.704 18.34 -25.07  0.95
 0.778 19.05 -24.60  0.95
 0.824 18.70 -25.08  0.95
 1.386 19.08 -25.73  0.95
 1.219 19.02 -25.51  0.95
 1.720 18.94 -26.35  0.95
 1.972 16.04 -29.63  0.95
 0.997 18.93 -25.23  0.95
 2.263 19.10 -26.98  0.84
 0.949 18.05 -26.02  0.95
 1.268 18.65 -25.96  0.95
 1.904 19.04 -26.51  0.95
 1.176 19.04 -25.41  0.95
 1.948 18.99 -26.64  0.95
 1.408 18.58 -26.26  0.95
 1.664 18.79 -26.41  0.95
 1.503 19.03 -25.91  0.95
 1.966 18.49 -27.17  0.95
 1.560 18.00 -27.03  0.95
 1.508 18.02 -26.92  0.95
 0.852 19.01 -24.84  0.95
 1.344 19.05 -25.69  0.95
 0.826 18.92 -24.87  0.95
 1.501 19.08 -25.85  0.95
 0.724 18.73 -24.76  0.94
 1.331 18.59 -26.13  0.95
 1.402 18.75 -26.08  0.95
 0.918 18.18 -25.83  0.95
 1.311 18.52 -26.16  0.95
 0.397 18.22 -23.81  0.95
 0.688 17.16 -26.17  0.93
 1.677 18.09 -27.12  0.95
 1.739 18.79 -26.52  0.95
 1.802 18.35 -27.05  0.95
 3.011 18.82 -27.90  0.70
 1.124 18.66 -25.70  0.95
 1.647 19.05 -26.11  0.95
 3.590 19.56 -27.51  0.60
 4.589 19.46 -28.25  0.95
 1.215 17.57 -26.95  0.95
 1.084 19.08 -25.21  0.95
 1.486 18.03 -26.89  0.95
 2.442 18.71 -27.57  0.70
 2.155 18.91 -27.03  0.94
 2.327 18.55 -27.61  0.78
 0.721 17.71 -25.76  0.95
 3.591 20.00 -27.08  0.54
 1.456 18.13 -26.76  0.95
 3.242 19.63 -27.26  0.77
 0.790 18.10 -25.59  0.95
 1.206 18.96 -25.54  0.95
 1.539 18.86 -26.13  0.95
 2.494 18.90 -27.44  0.67
 2.869 19.51 -27.08  0.10
 2.743 18.61 -27.88  0.05
 4.222 19.79 -27.74  0.94
 0.827 17.86 -25.93  0.95
 1.610 18.20 -26.90  0.95
 0.395 18.56 -23.46  0.95
 1.395 18.80 -26.02  0.95
 3.739 19.32 -27.87  0.93
 0.328 18.05 -23.58  0.95
 2.039 18.49 -27.28  0.95
 3.778 19.77 -27.45  0.92
 2.259 19.98 -26.09  0.00
 0.980 18.45 -25.67  0.95
 0.296 18.12 -23.26  0.95
 3.666 19.55 -27.58  0.82
 1.543 17.35 -27.64  0.95
 1.615 18.41 -26.70  0.95
 3.948 19.98 -27.37  0.94
 1.654 18.72 -26.46  0.95
 1.544 17.46 -27.54  0.95
 0.860 18.79 -25.08  0.95
 0.563 18.83 -23.97  0.95
 1.935 18.56 -27.05  0.95
 3.137 19.60 -27.22  0.73
 0.631 16.60 -26.46  0.95
 1.633 18.16 -26.98  0.95
 2.188 18.50 -27.47  0.94
 2.662 19.06 -27.38  0.10
 1.792 17.98 -27.41  0.95
 0.875 18.94 -24.96  0.95
 1.614 19.06 -26.06  0.95
 2.415 18.87 -27.38  0.69
 1.792 18.97 -26.41  0.95
 3.037 19.36 -27.38  0.52
 2.280 18.68 -27.42  0.86
 0.698 18.92 -24.46  0.94
 1.687 18.62 -26.61  0.95
 1.392 18.59 -26.23  0.95
 1.567 18.80 -26.24  0.95
 4.503 19.79 -27.94  0.95
 1.621 18.51 -26.62  0.95
 1.830 18.90 -26.54  0.95
 1.197 18.84 -25.64  0.95
 0.450 19.06 -23.20  0.95
 1.623 18.60 -26.53  0.95
 0.641 18.63 -24.48  0.95
 1.132 18.66 -25.71  0.95
 1.329 18.69 -26.02  0.95
 1.057 19.04 -25.21  0.95
 0.418 19.01 -23.11  0.95
 1.556 18.45 -26.57  0.95
 0.914 18.52 -25.48  0.95
 0.920 19.01 -25.00  0.95
 1.227 18.00 -26.53  0.95
 2.183 18.73 -27.24  0.94
 1.183 18.57 -25.89  0.95
 1.039 18.09 -26.13  0.95
 1.644 18.78 -26.38  0.95
 1.769 18.91 -26.44  0.95
 2.933 19.77 -26.88  0.17
 1.715 18.86 -26.41  0.95
 0.771 18.99 -24.64  0.95
 1.165 18.52 -25.91  0.95
 1.429 19.03 -25.84  0.95
 1.301 18.63 -26.04  0.95
 3.345 19.11 -27.87  0.83
 1.559 18.23 -26.79  0.95
 1.909 17.32 -28.24  0.95
 1.481 17.64 -27.28  0.95
 1.992 18.71 -26.99  0.95
 0.703 18.47 -24.93  0.95
 1.063 18.98 -25.29  0.95
 0.776 17.80 -25.85  0.95
 0.737 18.83 -24.70  0.94
 1.664 18.84 -26.35  0.95
 1.449 18.45 -26.43  0.95
 0.439 18.87 -23.33  0.95
 2.166 18.98 -26.97  0.94
 0.904 16.87 -27.11  0.95
 1.210 19.01 -25.50  0.95
 0.685 18.73 -24.59  0.93
 1.703 17.97 -27.29  0.95
 1.995 19.05 -26.65  0.95
 1.728 18.72 -26.58  0.95
 1.500 18.67 -26.27  0.95
 2.458 18.88 -27.42  0.67
 0.793 18.75 -24.94  0.95
 0.453 18.58 -23.69  0.95
 0.711 18.59 -24.84  0.95
 1.754 17.02 -28.31  0.95
 1.718 16.68 -28.60  0.95
 1.608 18.09 -27.01  0.95
 1.546 18.75 -26.25  0.95
 1.175 18.70 -25.74  0.95
 2.216 18.72 -27.29  0.92
 0.735 18.92 -24.60  0.95
 1.946 18.04 -27.59  0.95
 3.388 19.49 -27.52  0.79
 3.081 19.61 -27.16  0.64
 1.685 18.89 -26.34  0.95
 1.223 16.75 -27.77  0.95
 1.676 18.27 -26.94  0.95
 1.238 17.63 -26.92  0.95
 1.865 18.61 -26.87  0.95
 1.274 19.09 -25.53  0.95
 3.241 20.08 -26.81  0.69
 1.220 18.69 -25.83  0.95
 0.938 18.85 -25.20  0.95
 1.351 16.87 -27.88  0.95
 1.675 18.75 -26.46  0.95
 1.563 18.82 -26.21  0.95
 1.388 18.43 -26.38  0.95
 1.894 18.43 -27.10  0.95
 1.588 17.13 -27.94  0.95
 0.461 15.46 -26.85  0.95
 1.515 18.63 -26.32  0.95
 1.470 18.05 -26.86  0.95
 2.028 18.93 -26.82  0.95
 0.610 18.45 -24.52  0.95
 0.819 19.08 -24.68  0.95
 0.682 17.79 -25.52  0.92
 0.547 17.64 -25.07  0.95
 1.039 18.96 -25.26  0.95
 2.093 18.26 -27.58  0.95
 1.983 18.55 -27.14  0.95
 0.648 18.05 -25.10  0.95
 1.551 18.78 -26.23  0.95
 1.868 17.48 -28.01  0.95
 0.263 17.78 -23.26  0.95
 1.150 18.64 -25.76  0.95
 0.284 18.02 -23.26  0.95
 1.433 18.79 -26.08  0.95
 3.047 19.15 -27.60  0.53
 1.613 18.75 -26.37  0.95
 1.498 17.64 -27.30  0.95
 1.243 18.05 -26.51  0.95
 3.482 19.41 -27.63  0.61
 0.327 17.61 -24.01  0.95
 1.682 18.89 -26.33  0.95
 2.177 19.05 -26.91  0.94
 1.667 18.80 -26.40  0.95
 1.429 18.66 -26.21  0.95
 1.699 18.94 -26.31  0.95
 2.000 19.00 -26.71  0.95
 0.974 18.39 -25.72  0.95
 2.112 17.68 -28.19  0.95
 1.128 18.75 -25.62  0.95
 1.885 18.84 -26.68  0.95
 1.419 18.56 -26.29  0.95
 3.112 18.56 -28.24  0.83
 1.639 18.65 -26.51  0.95
 2.065 18.75 -27.05  0.95
 1.913 18.95 -26.61  0.95
 1.609 18.94 -26.17  0.95
 1.948 18.66 -26.97  0.95
 0.647 19.01 -24.13  0.94
 1.372 18.72 -26.07  0.95
 1.254 18.88 -25.70  0.95
 0.963 18.93 -25.17  0.95
 1.608 18.45 -26.66  0.95
 1.538 18.87 -26.12  0.95
 1.700 19.09 -26.17  0.95
 0.589 18.05 -24.84  0.95
 1.411 19.05 -25.80  0.95
 1.235 18.70 -25.85  0.95
 1.595 18.49 -26.60  0.95
 1.694 18.20 -27.05  0.95
 0.928 18.38 -25.65  0.95
 1.060 16.01 -28.24  0.95
 3.148 19.34 -27.49  0.76
 0.981 18.85 -25.28  0.95
 0.343 18.01 -23.71  0.95
 2.231 19.01 -27.02  0.92
 2.989 19.31 -27.40  0.34
 1.554 18.67 -26.35  0.95
 1.845 18.71 -26.74  0.95
 0.599 18.02 -24.91  0.95
 0.330 18.21 -23.43  0.95
 1.180 17.93 -26.53  0.95
 0.579 18.40 -24.46  0.95
 1.742 19.04 -26.28  0.95
 1.634 18.55 -26.60  0.95
 1.803 18.84 -26.56  0.95
 1.524 17.71 -27.26  0.95
 3.330 18.50 -28.47  0.87
 0.978 18.96 -25.16  0.95
 0.829 17.92 -25.87  0.95
 3.623 19.43 -27.67  0.73
 1.778 18.89 -26.47  0.95
 1.433 18.91 -25.96  0.95
 1.758 18.77 -26.56  0.95
 0.807 18.58 -25.16  0.95
 1.140 18.59 -25.80  0.95
 3.436 18.98 -28.05  0.71
 0.872 17.97 -25.93  0.95
 1.409 18.93 -25.91  0.95
 3.380 18.58 -28.43  0.90
 0.296 18.01 -23.38  0.95
 2.167 18.71 -27.24  0.95
 0.581 18.11 -24.76  0.95
 1.588 17.50 -27.58  0.95
 1.528 18.95 -26.02  0.95
 1.277 18.78 -25.85  0.95
 1.693 18.95 -26.29  0.95
 1.926 18.98 -26.61  0.95
 1.462 18.85 -26.05  0.95
 2.127 18.87 -27.02  0.95
 1.549 18.00 -27.01  0.95
 3.340 20.15 -26.83  0.71
 0.328 18.28 -23.34  0.95
 1.892 18.44 -27.09  0.95
 1.777 18.92 -26.44  0.95
 0.615 18.18 -24.81  0.94
 1.329 18.84 -25.87  0.95
 2.436 18.75 -27.53  0.70
 0.502 18.42 -24.08  0.95
 1.460 18.70 -26.19  0.95
 1.815 18.30 -27.11  0.95
 1.064 18.68 -25.59  0.95
 1.008 18.16 -26.02  0.95
 1.765 18.52 -26.82  0.95
 2.399 18.61 -27.63  0.73
 1.271 18.63 -25.98  0.95
 1.026 18.51 -25.69  0.95
 2.146 17.63 -28.29  0.95
 0.963 18.97 -25.13  0.95
 0.408 18.10 -23.97  0.95
 1.319 18.81 -25.88  0.95
 1.300 18.98 -25.68  0.95
 0.399 16.78 -25.26  0.95
 1.330 17.66 -27.06  0.95
 4.200 19.90 -27.62  0.95
 0.426 18.94 -23.20  0.95
 1.857 19.06 -26.42  0.95
 0.482 17.50 -24.91  0.95
 2.106 18.34 -27.52  0.95
 0.923 19.01 -25.01  0.95
 0.516 18.37 -24.20  0.95
 2.155 19.10 -26.83  0.94
 1.120 18.91 -25.45  0.95
 1.425 18.74 -26.12  0.95
 1.370 19.08 -25.70  0.95
 2.062 18.92 -26.88  0.95
 1.846 19.08 -26.38  0.95
 1.938 18.29 -27.32  0.95
 1.504 18.70 -26.25  0.95
 1.515 18.61 -26.35  0.95
 1.190 18.96 -25.50  0.95
 1.546 19.02 -25.99  0.95
 0.554 17.87 -24.88  0.95
 1.347 18.70 -26.04  0.95
 0.736 18.95 -24.58  0.95
 3.800 19.42 -27.82  0.95
 1.681 18.54 -26.68  0.95
 0.898 19.02 -24.94  0.95
 4.183 20.18 -27.32  0.95
 0.449 18.86 -23.39  0.95
 0.940 19.00 -25.06  0.95
 2.433 18.44 -27.83  0.73
 1.207 19.10 -25.40  0.00
 1.082 18.46 -25.83  0.95
 1.751 18.86 -26.47  0.95
 2.941 18.79 -27.86  0.95
 1.339 18.47 -26.26  0.95
 0.664 18.54 -24.68  0.91
 1.727 18.89 -26.41  0.95
 1.057 16.80 -27.45  0.95
 1.725 18.54 -26.75  0.95
 1.718 18.27 -27.01  0.95
 3.409 19.57 -27.45  0.65
 1.870 18.14 -27.35  0.95
 2.188 18.50 -27.48  0.95
 1.981 18.35 -27.34  0.95
 2.029 19.08 -26.67  0.95
 2.143 18.98 -26.93  0.95
 2.382 18.63 -27.59  0.73
 1.561 18.76 -26.26  0.95
