# Selection function for the Banados qso.  See selfn.pdf how we got
# this.  Produced using selfn_z7.py.
#
# dM = 0.1
# dz = 0.1
# 7.4 < z < 9.0
# -29.3 < M1450 < -26.6
#
# counter  z      M1450  p
1  7.40  -29.30  1.0
2  7.40  -29.20  1.0
3  7.40  -29.10  1.0
4  7.40  -29.00  1.0
5  7.40  -28.90  1.0
6  7.40  -28.80  1.0
7  7.40  -28.70  1.0
8  7.40  -28.60  1.0
9  7.40  -28.50  1.0
10  7.40  -28.40  1.0
11  7.40  -28.30  1.0
12  7.40  -28.20  1.0
13  7.40  -28.10  1.0
14  7.40  -28.00  1.0
15  7.40  -27.90  1.0
16  7.40  -27.80  1.0
17  7.40  -27.70  1.0
18  7.40  -27.60  1.0
19  7.40  -27.50  1.0
20  7.40  -27.40  1.0
21  7.40  -27.30  1.0
22  7.40  -27.20  1.0
23  7.40  -27.10  1.0
24  7.40  -27.00  1.0
25  7.40  -26.90  1.0
26  7.40  -26.80  1.0
27  7.40  -26.70  1.0
28  7.50  -29.30  1.0
29  7.50  -29.20  1.0
30  7.50  -29.10  1.0
31  7.50  -29.00  1.0
32  7.50  -28.90  1.0
33  7.50  -28.80  1.0
34  7.50  -28.70  1.0
35  7.50  -28.60  1.0
36  7.50  -28.50  1.0
37  7.50  -28.40  1.0
38  7.50  -28.30  1.0
39  7.50  -28.20  1.0
40  7.50  -28.10  1.0
41  7.50  -28.00  1.0
42  7.50  -27.90  1.0
43  7.50  -27.80  1.0
44  7.50  -27.70  1.0
45  7.50  -27.60  1.0
46  7.50  -27.50  1.0
47  7.50  -27.40  1.0
48  7.50  -27.30  1.0
49  7.50  -27.20  1.0
50  7.50  -27.10  1.0
51  7.50  -27.00  1.0
52  7.50  -26.90  1.0
53  7.50  -26.80  1.0
54  7.50  -26.70  1.0
55  7.60  -29.30  1.0
56  7.60  -29.20  1.0
57  7.60  -29.10  1.0
58  7.60  -29.00  1.0
59  7.60  -28.90  1.0
60  7.60  -28.80  1.0
61  7.60  -28.70  1.0
62  7.60  -28.60  1.0
63  7.60  -28.50  1.0
64  7.60  -28.40  1.0
65  7.60  -28.30  1.0
66  7.60  -28.20  1.0
67  7.60  -28.10  1.0
68  7.60  -28.00  1.0
69  7.60  -27.90  1.0
70  7.60  -27.80  1.0
71  7.60  -27.70  1.0
72  7.60  -27.60  1.0
73  7.60  -27.50  1.0
74  7.60  -27.40  1.0
75  7.60  -27.30  1.0
76  7.60  -27.20  1.0
77  7.60  -27.10  1.0
78  7.60  -27.00  1.0
79  7.60  -26.90  1.0
80  7.60  -26.80  1.0
81  7.60  -26.70  1.0
82  7.70  -29.30  1.0
83  7.70  -29.20  1.0
84  7.70  -29.10  1.0
85  7.70  -29.00  1.0
86  7.70  -28.90  1.0
87  7.70  -28.80  1.0
88  7.70  -28.70  1.0
89  7.70  -28.60  1.0
90  7.70  -28.50  1.0
91  7.70  -28.40  1.0
92  7.70  -28.30  1.0
93  7.70  -28.20  1.0
94  7.70  -28.10  1.0
95  7.70  -28.00  1.0
96  7.70  -27.90  1.0
97  7.70  -27.80  1.0
98  7.70  -27.70  1.0
99  7.70  -27.60  1.0
100  7.70  -27.50  1.0
101  7.70  -27.40  1.0
102  7.70  -27.30  1.0
103  7.70  -27.20  1.0
104  7.70  -27.10  1.0
105  7.70  -27.00  1.0
106  7.70  -26.90  1.0
107  7.70  -26.80  1.0
108  7.70  -26.70  1.0
109  7.80  -29.30  1.0
110  7.80  -29.20  1.0
111  7.80  -29.10  1.0
112  7.80  -29.00  1.0
113  7.80  -28.90  1.0
114  7.80  -28.80  1.0
115  7.80  -28.70  1.0
116  7.80  -28.60  1.0
117  7.80  -28.50  1.0
