# Fan et al. (2006) uniform sample for SDSS Main z~6 survey (6600 deg2)
# corrected for cosmology in M1450
# counter  z     M1450  p       area    sample
        1  5.790 -26.70 0.47910 6600.00 16
        2  5.800 -27.45 0.87740 6600.00 16
        3  5.820 -27.83 0.88580 6600.00 16
        4  5.850 -26.56 0.49330 6600.00 16
        5  5.930 -26.70 0.57100 6600.00 16
        6  5.990 -27.14 0.90050 6600.00 16
        7  6.000 -27.29 0.91310 6600.00 16
        8  6.010 -27.00 0.74520 6600.00 16
        9  6.070 -26.77 0.43740 6600.00 16
       10  6.130 -27.03 0.46550 6600.00 16
       11  6.220 -26.62 0.02990 6600.00 16
       12  6.230 -27.50 0.77150 6600.00 16
       13  6.280 -27.10 0.23670 6600.00 16
       14  6.430 -27.77 0.43030 6600.00 16
