# Jiang et al. 2016, arXiv:1610.05369, compilation of 52 z~6 QSOs (re-)discovered in SDSS
# SDSS Main sample (24/29 QSOs in complete sample, 11240deg2)
# counter  z     M1450  p       area    sample
        1  5.770 -26.98 0.56900 11240.0 18
        2  5.772 -26.78 0.53200 11240.0 18
        3  5.778 -27.61 0.95000 11240.0 18
        4  5.780 -27.37 0.94100 11240.0 18
        5  5.800 -26.98 0.90600 11240.0 18
        6  5.810 -27.86 0.96300 11240.0 18
        7  5.810 -26.76 0.83200 11240.0 18
        8  5.820 -27.61 0.95000 11240.0 18
        9  5.844 -26.64 0.67500 11240.0 18
       10  5.850 -26.22 0.11400 11240.0 18
       11  5.923 -27.08 0.98800 11240.0 18
       12  5.927 -26.75 0.68500 11240.0 18
       13  6.003 -27.61 0.99800 11240.0 18
       14  6.016 -27.32 0.99400 11240.0 18
       15  6.020 -27.37 0.99800 11240.0 18
       16  6.030 -27.08 0.94300 11240.0 18
       17  6.069 -26.85 0.75900 11240.0 18
       18  6.090 -26.85 0.63600 11240.0 18
       19  6.150 -27.11 0.73700 11240.0 18
       20  6.198 -27.51 0.94800 11240.0 18
       21  6.247 -27.04 0.28900 11240.0 18
       22  6.300 -29.10 0.84100 11240.0 18
       23  6.309 -27.53 0.72500 11240.0 18
       24  6.419 -27.80 0.55400 11240.0 18
