# Jiang et al. 2016, arXiv:1610.05369, compilation of 52 z~6 QSOs (re-)discovered in SDSS
# SDSS Overlap sample (10/10 QSOs in complete sample, 4223deg2)
# counter  z     M1450  p       area    sample
        1  5.860 -26.27 0.64300 4223.00 18
        2  5.867 -26.74 0.16100 4223.00 18
        3  5.890 -25.76 0.08100 4223.00 18
        4  5.929 -26.04 0.37700 4223.00 18
        5  5.980 -27.08 0.02200 4223.00 18
        6  6.020 -26.14 0.40600 4223.00 18
        7  6.040 -26.60 0.61800 4223.00 18
        8  6.040 -26.38 0.67900 4223.00 18
        9  6.058 -26.14 0.22900 4223.00 18
       10  6.132 -27.12 0.24000 4223.00 18
