# Conversion from M_i(z=2) used in Ross et al. (2013) to M_1450 used in Kulkarni et al. (2018)
# M_1450 = M_i(z=2)+C
# Accounts for different K corrections, therefore depends on z
# counter  z      C
       21  2.000  1.373
       22  2.010  1.375
       23  2.020  1.376
       24  2.030  1.377
       25  2.040  1.378
       26  2.050  1.381
       27  2.060  1.382
       28  2.070  1.383
       29  2.080  1.385
       30  2.090  1.386
       31  2.100  1.388
       32  2.110  1.391
       33  2.120  1.393
       34  2.130  1.395
       35  2.140  1.398
       36  2.150  1.401
       37  2.160  1.404
       38  2.170  1.405
       39  2.180  1.407
       40  2.190  1.410
       41  2.200  1.413
       42  2.210  1.415
       43  2.220  1.418
       44  2.230  1.421
       45  2.240  1.424
       46  2.250  1.427
       47  2.260  1.430
       48  2.270  1.433
       49  2.280  1.436
       50  2.290  1.438
       51  2.300  1.440
       52  2.310  1.442
       53  2.320  1.445
       54  2.330  1.447
       55  2.340  1.448
       56  2.350  1.450
       57  2.360  1.451
       58  2.370  1.452
       59  2.380  1.453
       60  2.390  1.455
       61  2.400  1.456
       62  2.410  1.457
       63  2.420  1.459
       64  2.430  1.459
       65  2.440  1.460
       66  2.450  1.461
       67  2.460  1.462
       68  2.470  1.462
       69  2.480  1.463
       70  2.490  1.463
       71  2.500  1.463
       72  2.510  1.463
       73  2.520  1.463
       74  2.530  1.463
       75  2.540  1.463
       76  2.550  1.463
       77  2.560  1.462
       78  2.570  1.461
       79  2.580  1.461
       80  2.590  1.461
       81  2.600  1.459
       82  2.610  1.457
       83  2.620  1.455
       84  2.630  1.454
       85  2.640  1.451
       86  2.650  1.449
       87  2.660  1.446
       88  2.670  1.443
       89  2.680  1.440
       90  2.690  1.437
       91  2.700  1.435
       92  2.710  1.432
       93  2.720  1.430
       94  2.730  1.428
       95  2.740  1.426
       96  2.750  1.425
       97  2.760  1.424
       98  2.770  1.422
       99  2.780  1.422
      100  2.790  1.420
      101  2.800  1.420
      102  2.810  1.418
      103  2.820  1.417
      104  2.830  1.416
      105  2.840  1.415
      106  2.850  1.413
      107  2.860  1.412
      108  2.870  1.411
      109  2.880  1.410
      110  2.890  1.409
      111  2.900  1.408
      112  2.910  1.407
      113  2.920  1.407
      114  2.930  1.406
      115  2.940  1.406
      116  2.950  1.406
      117  2.960  1.406
      118  2.970  1.408
      119  2.980  1.409
      120  2.990  1.409
      121  3.000  1.409
      122  3.010  1.407
      123  3.020  1.405
      124  3.030  1.402
      125  3.040  1.400
      126  3.050  1.397
      127  3.060  1.396
      128  3.070  1.393
      129  3.080  1.392
      130  3.090  1.391
      131  3.100  1.390
      132  3.110  1.388
      133  3.120  1.386
      134  3.130  1.384
      135  3.140  1.382
      136  3.150  1.379
      137  3.160  1.378
      138  3.170  1.376
      139  3.180  1.375
      140  3.190  1.374
      141  3.200  1.372
      142  3.210  1.371
      143  3.220  1.370
      144  3.230  1.368
      145  3.240  1.367
      146  3.250  1.367
      147  3.260  1.367
      148  3.270  1.367
      149  3.280  1.367
      150  3.290  1.368
      151  3.300  1.369
      152  3.310  1.369
      153  3.320  1.370
      154  3.330  1.371
      155  3.340  1.372
      156  3.350  1.373
      157  3.360  1.374
      158  3.370  1.374
      159  3.380  1.373
      160  3.390  1.371
      161  3.400  1.369
      162  3.410  1.366
      163  3.420  1.364
      164  3.430  1.361
      165  3.440  1.358
      166  3.450  1.355
      167  3.460  1.351
      168  3.470  1.348
      169  3.480  1.344
      170  3.490  1.341
      171  3.500  1.337
      172  3.510  1.334
      173  3.520  1.330
      174  3.530  1.327
      175  3.540  1.324
      176  3.550  1.322
      177  3.560  1.318
      178  3.570  1.317
      179  3.580  1.314
      180  3.590  1.313
      181  3.600  1.312
      182  3.610  1.311
      183  3.620  1.311
      184  3.630  1.312
      185  3.640  1.312
      186  3.650  1.312
      187  3.660  1.311
      188  3.670  1.309
      189  3.680  1.307
      190  3.690  1.305
      191  3.700  1.304
      192  3.710  1.302
      193  3.720  1.301
      194  3.730  1.300
      195  3.740  1.299
      196  3.750  1.298
      197  3.760  1.298
      198  3.770  1.297
      199  3.780  1.296
      200  3.790  1.296
      201  3.800  1.296
      202  3.810  1.297
      203  3.820  1.298
      204  3.830  1.299
      205  3.840  1.300
      206  3.850  1.302
      207  3.860  1.303
      208  3.870  1.305
      209  3.880  1.308
      210  3.890  1.310
      211  3.900  1.314
      212  3.910  1.317
      213  3.920  1.320
      214  3.930  1.321
      215  3.940  1.319
      216  3.950  1.317
      217  3.960  1.313
      218  3.970  1.312
      219  3.980  1.310
      220  3.990  1.309
      221  4.000  1.309
      222  4.010  1.308
      223  4.020  1.308
      224  4.030  1.308
      225  4.040  1.308
      226  4.050  1.308
      227  4.060  1.308
      228  4.070  1.309
      229  4.080  1.309
      230  4.090  1.310
      231  4.100  1.310
      232  4.110  1.311
      233  4.120  1.312
      234  4.130  1.312
      235  4.140  1.312
      236  4.150  1.313
      237  4.160  1.313
      238  4.170  1.315
      239  4.180  1.315
      240  4.190  1.317
      241  4.200  1.318
      242  4.210  1.320
      243  4.220  1.323
      244  4.230  1.325
      245  4.240  1.328
      246  4.250  1.331
      247  4.260  1.334
      248  4.270  1.337
      249  4.280  1.341
      250  4.290  1.345
      251  4.300  1.349
      252  4.310  1.353
      253  4.320  1.356
      254  4.330  1.360
      255  4.340  1.364
      256  4.350  1.367
      257  4.360  1.371
      258  4.370  1.375
      259  4.380  1.378
      260  4.390  1.381
      261  4.400  1.385
      262  4.410  1.389
      263  4.420  1.392
      264  4.430  1.394
      265  4.440  1.396
      266  4.450  1.398
      267  4.460  1.400
      268  4.470  1.402
      269  4.480  1.402
      270  4.490  1.404
      271  4.500  1.404
      272  4.510  1.404
