# Selection function for the two UKIDSS qso.  See selfn.pdf how we got
# this.  Produced using selfn_z7.py.  
#
# dM = 0.1
# dz = 0.1
# 6.5 < z < 7.4
# -29.3 < M1450 < -26.2
#
# counter  z      M1450  p
1  6.50  -29.30  1.0
2  6.50  -29.20  1.0
3  6.50  -29.10  1.0
4  6.50  -29.00  1.0
5  6.50  -28.90  1.0
6  6.50  -28.80  1.0
7  6.50  -28.70  1.0
8  6.50  -28.60  1.0
9  6.50  -28.50  1.0
10  6.50  -28.40  1.0
11  6.50  -28.30  1.0
12  6.50  -28.20  1.0
13  6.50  -28.10  1.0
14  6.50  -28.00  1.0
15  6.50  -27.90  1.0
16  6.50  -27.80  1.0
17  6.50  -27.70  1.0
18  6.50  -27.60  1.0
19  6.50  -27.50  1.0
20  6.50  -27.40  1.0
21  6.50  -27.30  1.0
22  6.50  -27.20  1.0
23  6.50  -27.10  1.0
24  6.50  -27.00  1.0
25  6.50  -26.90  1.0
26  6.50  -26.80  1.0
27  6.50  -26.70  1.0
28  6.50  -26.60  1.0
29  6.50  -26.50  1.0
30  6.50  -26.40  1.0
31  6.50  -26.30  1.0
32  6.50  -26.20  1.0
33  6.60  -29.30  1.0
34  6.60  -29.20  1.0
35  6.60  -29.10  1.0
36  6.60  -29.00  1.0
37  6.60  -28.90  1.0
38  6.60  -28.80  1.0
39  6.60  -28.70  1.0
40  6.60  -28.60  1.0
41  6.60  -28.50  1.0
42  6.60  -28.40  1.0
43  6.60  -28.30  1.0
44  6.60  -28.20  1.0
45  6.60  -28.10  1.0
46  6.60  -28.00  1.0
47  6.60  -27.90  1.0
48  6.60  -27.80  1.0
49  6.60  -27.70  1.0
50  6.60  -27.60  1.0
51  6.60  -27.50  1.0
52  6.60  -27.40  1.0
53  6.60  -27.30  1.0
54  6.60  -27.20  1.0
55  6.60  -27.10  1.0
56  6.60  -27.00  1.0
57  6.60  -26.90  1.0
58  6.60  -26.80  1.0
59  6.60  -26.70  1.0
60  6.60  -26.60  1.0
61  6.60  -26.50  1.0
62  6.60  -26.40  1.0
63  6.60  -26.30  1.0
64  6.60  -26.20  1.0
65  6.70  -29.30  1.0
66  6.70  -29.20  1.0
67  6.70  -29.10  1.0
68  6.70  -29.00  1.0
69  6.70  -28.90  1.0
70  6.70  -28.80  1.0
71  6.70  -28.70  1.0
72  6.70  -28.60  1.0
73  6.70  -28.50  1.0
74  6.70  -28.40  1.0
75  6.70  -28.30  1.0
76  6.70  -28.20  1.0
77  6.70  -28.10  1.0
78  6.70  -28.00  1.0
79  6.70  -27.90  1.0
80  6.70  -27.80  1.0
81  6.70  -27.70  1.0
82  6.70  -27.60  1.0
83  6.70  -27.50  1.0
84  6.70  -27.40  1.0
85  6.70  -27.30  1.0
86  6.70  -27.20  1.0
87  6.70  -27.10  1.0
88  6.70  -27.00  1.0
89  6.70  -26.90  1.0
90  6.70  -26.80  1.0
91  6.70  -26.70  1.0
92  6.70  -26.60  1.0
93  6.70  -26.50  1.0
94  6.70  -26.40  1.0
95  6.70  -26.30  1.0
96  6.70  -26.20  1.0
97  6.80  -29.30  1.0
98  6.80  -29.20  1.0
99  6.80  -29.10  1.0
100  6.80  -29.00  1.0
101  6.80  -28.90  1.0
102  6.80  -28.80  1.0
103  6.80  -28.70  1.0
