# 2SLAQ selection function in NGP region (Croom et al. 2009, MNRAS, 392, 19)
# M1450 computed with imag corrected for host galaxy light (Croom et al. 2009, MNRAS, 392, 19) and Beta's SED
# selection function corrected for coverage completeness (not all targets observed, different for NGP and SGP regions, Fig 4 in Croom et al.)
# selection function corrected for spectroscopic completeness (redshift success, Fig 6b in Croom et al., only quality=1 redshifts considered)
# Tiles at z >= 2.2 removed from original file.
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
    1  0.200  -21.09  0.87260  0.0500  0.250
    2  0.200  -20.84  0.85613  0.0500  0.275
    3  0.200  -20.54  0.78911  0.0500  0.295
    4  0.200  -20.25  0.72494  0.0500  0.290
    5  0.200  -19.96  0.63026  0.0500  0.295
    6  0.200  -19.66  0.53440  0.0500  0.295
    7  0.200  -19.37  0.41897  0.0500  0.300
    8  0.200  -19.06  0.31743  0.0500  0.315
    9  0.200  -18.74  0.24049  0.0500  0.320
   10  0.200  -18.42  0.15612  0.0500  0.325
   11  0.200  -18.09  0.10583  0.0500  0.335
   12  0.200  -17.75  0.07164  0.0500  0.345
   13  0.200  -17.40  0.04639  0.0500  0.345
   14  0.200  -17.06  0.00678  0.0500  0.345
   15  0.200  -16.71  0.00261  0.0500  0.345
   16  0.200  -16.37  0.00060  0.0500  0.340
   17  0.250  -21.70  0.92488  0.0500  0.250
   18  0.250  -21.45  0.90743  0.0500  0.255
   19  0.250  -21.19  0.89557  0.0500  0.265
   20  0.250  -20.92  0.85742  0.0500  0.270
   21  0.250  -20.65  0.81111  0.0500  0.275
   22  0.250  -20.37  0.71915  0.0500  0.280
   23  0.250  -20.09  0.60654  0.0500  0.280
   24  0.250  -19.81  0.52014  0.0500  0.290
   25  0.250  -19.51  0.40519  0.0500  0.295
   26  0.250  -19.22  0.28944  0.0500  0.290
   27  0.250  -18.93  0.25701  0.0500  0.300
   28  0.250  -18.62  0.18628  0.0500  0.310
   29  0.250  -18.31  0.12601  0.0500  0.310
   30  0.250  -18.00  0.02307  0.0500  0.315
   31  0.250  -17.68  0.01239  0.0500  0.325
   32  0.250  -17.35  0.00837  0.0500  0.330
   33  0.300  -22.14  0.93819  0.0500  0.250
   34  0.300  -21.89  0.92048  0.0500  0.255
   35  0.300  -21.63  0.91892  0.0500  0.260
   36  0.300  -21.37  0.89330  0.0500  0.265
   37  0.300  -21.10  0.85496  0.0500  0.265
   38  0.300  -20.84  0.79340  0.0500  0.270
   39  0.300  -20.56  0.68774  0.0500  0.275
   40  0.300  -20.29  0.61364  0.0500  0.270
   41  0.300  -20.02  0.55366  0.0500  0.275
   42  0.300  -19.74  0.42690  0.0500  0.280
   43  0.300  -19.46  0.40668  0.0500  0.285
   44  0.300  -19.17  0.31448  0.0500  0.285
   45  0.300  -18.89  0.22987  0.0500  0.300
   46  0.300  -18.57  0.06785  0.0500  0.305
   47  0.300  -18.28  0.04370  0.0500  0.300
   48  0.300  -17.97  0.01793  0.0500  0.310
   49  0.350  -22.50  0.93534  0.0500  0.250
   50  0.350  -22.25  0.91769  0.0500  0.255
   51  0.350  -21.99  0.92079  0.0500  0.260
   52  0.350  -21.73  0.91354  0.0500  0.260
   53  0.350  -21.47  0.89515  0.0500  0.260
   54  0.350  -21.21  0.83225  0.0500  0.260
   55  0.350  -20.95  0.76325  0.0500  0.260
   56  0.350  -20.69  0.71735  0.0500  0.265
   57  0.350  -20.42  0.66037  0.0500  0.270
   58  0.350  -20.15  0.54572  0.0500  0.270
   59  0.350  -19.88  0.53594  0.0500  0.275
   60  0.350  -19.60  0.45777  0.0500  0.280
   61  0.350  -19.32  0.34758  0.0500  0.280
   62  0.350  -19.04  0.12145  0.0500  0.290
   63  0.350  -18.74  0.07696  0.0500  0.295
   64  0.350  -18.45  0.04602  0.0500  0.290
   65  0.400  -22.79  0.93629  0.0500  0.250
   66  0.400  -22.54  0.91862  0.0500  0.250
   67  0.400  -22.29  0.92359  0.0500  0.255
   68  0.400  -22.03  0.90986  0.0500  0.255
   69  0.400  -21.78  0.90337  0.0500  0.255
   70  0.400  -21.52  0.84951  0.0500  0.260
   71  0.400  -21.26  0.79329  0.0500  0.260
   72  0.400  -21.00  0.75271  0.0500  0.260
   73  0.400  -20.74  0.71450  0.0500  0.265
   74  0.400  -20.47  0.62101  0.0500  0.265
   75  0.400  -20.21  0.64329  0.0500  0.265
   76  0.400  -19.94  0.56787  0.0500  0.270
   77  0.400  -19.67  0.46598  0.0500  0.275
   78  0.400  -19.39  0.19676  0.0500  0.280
   79  0.400  -19.11  0.14087  0.0500  0.285
   80  0.400  -18.82  0.08845  0.0500  0.290
   81  0.450  -23.05  0.92963  0.0500  0.250
   82  0.450  -22.80  0.91209  0.0500  0.250
   83  0.450  -22.55  0.92172  0.0500  0.255
   84  0.450  -22.29  0.90618  0.0500  0.255
   85  0.450  -22.04  0.89332  0.0500  0.255
   86  0.450  -21.78  0.84261  0.0500  0.255
   87  0.450  -21.53  0.77786  0.0500  0.255
   88  0.450  -21.27  0.74250  0.0500  0.260
   89  0.450  -21.01  0.71450  0.0500  0.260
   90  0.450  -20.75  0.62239  0.0500  0.260
   91  0.450  -20.49  0.64858  0.0500  0.265
   92  0.450  -20.22  0.60935  0.0500  0.265
   93  0.450  -19.96  0.50406  0.0500  0.270
   94  0.450  -19.68  0.21915  0.0500  0.275
   95  0.450  -19.41  0.17478  0.0500  0.270
   96  0.450  -19.14  0.14104  0.0500  0.270
   97  0.500  -23.29  0.92963  0.0500  0.250
   98  0.500  -23.04  0.91209  0.0500  0.255
   99  0.500  -22.78  0.91145  0.0500  0.255
  100  0.500  -22.53  0.90066  0.0500  0.250
  101  0.500  -22.28  0.88510  0.0500  0.255
  102  0.500  -22.02  0.82448  0.0500  0.255
  103  0.500  -21.77  0.77137  0.0500  0.255
  104  0.500  -21.51  0.72757  0.0500  0.255
  105  0.500  -21.26  0.70986  0.0500  0.255
  106  0.500  -21.00  0.60789  0.0500  0.260
  107  0.500  -20.74  0.65765  0.0500  0.260
  108  0.500  -20.48  0.59955  0.0500  0.260
  109  0.500  -20.22  0.51168  0.0500  0.260
  110  0.500  -19.96  0.24968  0.0500  0.270
  111  0.500  -19.68  0.20087  0.0500  0.270
  112  0.500  -19.42  0.16136  0.0500  0.260
  113  0.550  -23.51  0.91442  0.0500  0.250
  114  0.550  -23.26  0.89717  0.0500  0.255
  115  0.550  -23.00  0.88997  0.0500  0.255
  116  0.550  -22.75  0.87858  0.0500  0.250
  117  0.550  -22.50  0.86135  0.0500  0.250
  118  0.550  -22.25  0.81325  0.0500  0.255
  119  0.550  -21.99  0.74863  0.0500  0.255
  120  0.550  -21.74  0.71892  0.0500  0.250
  121  0.550  -21.49  0.69981  0.0500  0.255
  122  0.550  -21.23  0.59752  0.0500  0.260
  123  0.550  -20.97  0.63421  0.0500  0.260
  124  0.550  -20.71  0.56787  0.0500  0.255
  125  0.550  -20.46  0.49852  0.0500  0.255
  126  0.550  -20.20  0.27207  0.0500  0.265
  127  0.550  -19.93  0.21326  0.0500  0.270
  128  0.550  -19.66  0.15359  0.0500  0.270
  129  0.600  -23.71  0.89636  0.0500  0.250
  130  0.600  -23.46  0.87945  0.0500  0.250
  131  0.600  -23.21  0.89371  0.0500  0.255
  132  0.600  -22.95  0.85834  0.0500  0.255
  133  0.600  -22.70  0.84948  0.0500  0.250
  134  0.600  -22.45  0.79944  0.0500  0.250
  135  0.600  -22.20  0.74051  0.0500  0.250
  136  0.600  -21.95  0.70400  0.0500  0.255
  137  0.600  -21.69  0.66733  0.0500  0.255
  138  0.600  -21.44  0.58716  0.0500  0.255
  139  0.600  -21.18  0.61154  0.0500  0.255
  140  0.600  -20.93  0.59050  0.0500  0.255
  141  0.600  -20.67  0.49506  0.0500  0.260
  142  0.600  -20.41  0.26597  0.0500  0.260
  143  0.600  -20.15  0.21913  0.0500  0.260
  144  0.600  -19.89  0.17690  0.0500  0.260
  145  0.650  -23.89  0.91157  0.0500  0.250
  146  0.650  -23.64  0.89437  0.0500  0.250
  147  0.650  -23.39  0.89277  0.0500  0.250
  148  0.650  -23.14  0.85558  0.0500  0.250
  149  0.650  -22.89  0.85496  0.0500  0.250
  150  0.650  -22.64  0.78304  0.0500  0.250
  151  0.650  -22.39  0.74051  0.0500  0.250
  152  0.650  -22.14  0.70950  0.0500  0.255
  153  0.650  -21.88  0.69595  0.0500  0.255
  154  0.650  -21.63  0.59891  0.0500  0.250
  155  0.650  -21.38  0.63270  0.0500  0.255
  156  0.650  -21.12  0.59352  0.0500  0.255
  157  0.650  -20.87  0.50337  0.0500  0.255
  158  0.650  -20.61  0.32160  0.0500  0.255
  159  0.650  -20.36  0.28174  0.0500  0.255
  160  0.650  -20.10  0.21575  0.0500  0.260
  161  0.700  -24.07  0.91062  0.0500  0.250
  162  0.700  -23.82  0.89344  0.0500  0.250
  163  0.700  -23.57  0.89371  0.0500  0.250
  164  0.700  -23.32  0.87306  0.0500  0.250
  165  0.700  -23.07  0.88236  0.0500  0.250
  166  0.700  -22.82  0.82189  0.0500  0.250
  167  0.700  -22.57  0.76812  0.0500  0.255
  168  0.700  -22.31  0.73700  0.0500  0.255
  169  0.700  -22.06  0.71450  0.0500  0.250
  170  0.700  -21.81  0.61963  0.0500  0.250
  171  0.700  -21.56  0.67277  0.0500  0.255
  172  0.700  -21.30  0.63801  0.0500  0.255
  173  0.700  -21.05  0.57261  0.0500  0.250
  174  0.700  -20.80  0.39895  0.0500  0.255
  175  0.700  -20.54  0.34956  0.0500  0.255
  176  0.700  -20.29  0.27850  0.0500  0.250
  177  0.750  -24.23  0.90587  0.0500  0.250
  178  0.750  -23.98  0.88878  0.0500  0.250
  179  0.750  -23.73  0.89931  0.0500  0.250
  180  0.750  -23.48  0.87490  0.0500  0.250
  181  0.750  -23.23  0.87322  0.0500  0.250
  182  0.750  -22.98  0.81757  0.0500  0.255
  183  0.750  -22.72  0.77543  0.0500  0.255
  184  0.750  -22.47  0.74800  0.0500  0.250
  185  0.750  -22.22  0.73693  0.0500  0.250
  186  0.750  -21.97  0.64450  0.0500  0.250
  187  0.750  -21.72  0.69998  0.0500  0.250
  188  0.750  -21.47  0.67119  0.0500  0.255
  189  0.750  -21.21  0.60653  0.0500  0.255
  190  0.750  -20.96  0.45052  0.0500  0.250
  191  0.750  -20.71  0.42000  0.0500  0.255
  192  0.750  -20.45  0.33766  0.0500  0.260
  193  0.800  -24.38  0.91347  0.0500  0.250
  194  0.800  -24.13  0.89624  0.0500  0.250
  195  0.800  -23.88  0.89931  0.0500  0.250
  196  0.800  -23.63  0.88410  0.0500  0.250
  197  0.800  -23.38  0.87870  0.0500  0.250
  198  0.800  -23.13  0.82707  0.0500  0.250
  199  0.800  -22.88  0.78355  0.0500  0.250
  200  0.800  -22.63  0.75271  0.0500  0.250
  201  0.800  -22.38  0.73616  0.0500  0.255
  202  0.800  -22.12  0.66039  0.0500  0.255
  203  0.800  -21.87  0.71056  0.0500  0.250
  204  0.800  -21.62  0.70211  0.0500  0.250
  205  0.800  -21.37  0.62246  0.0500  0.250
  206  0.800  -21.12  0.50615  0.0500  0.250
  207  0.800  -20.87  0.45848  0.0500  0.255
  208  0.800  -20.61  0.39504  0.0500  0.260
  209  0.850  -24.53  0.92393  0.0500  0.250
  210  0.850  -24.28  0.90649  0.0500  0.250
  211  0.850  -24.03  0.90118  0.0500  0.250
  212  0.850  -23.78  0.89422  0.0500  0.250
  213  0.850  -23.53  0.88784  0.0500  0.250
  214  0.850  -23.28  0.83484  0.0500  0.250
  215  0.850  -23.03  0.79248  0.0500  0.250
  216  0.850  -22.78  0.77235  0.0500  0.250
  217  0.850  -22.53  0.75317  0.0500  0.250
  218  0.850  -22.28  0.66246  0.0500  0.250
  219  0.850  -22.03  0.72568  0.0500  0.255
  220  0.850  -21.77  0.71267  0.0500  0.255
  221  0.850  -21.52  0.63769  0.0500  0.250
  222  0.850  -21.27  0.53329  0.0500  0.250
  223  0.850  -21.02  0.48913  0.0500  0.250
  224  0.850  -20.77  0.44285  0.0500  0.250
  225  0.900  -24.68  0.92298  0.0500  0.250
  226  0.900  -24.43  0.90556  0.0500  0.250
  227  0.900  -24.18  0.91519  0.0500  0.250
  228  0.900  -23.93  0.90158  0.0500  0.250
  229  0.900  -23.68  0.89789  0.0500  0.250
  230  0.900  -23.43  0.84779  0.0500  0.250
  231  0.900  -23.18  0.79329  0.0500  0.250
  232  0.900  -22.93  0.76685  0.0500  0.250
  233  0.900  -22.68  0.75085  0.0500  0.250
  234  0.900  -22.43  0.66729  0.0500  0.250
  235  0.900  -22.18  0.72946  0.0500  0.250
  236  0.900  -21.93  0.72474  0.0500  0.250
  237  0.900  -21.68  0.65777  0.0500  0.250
  238  0.900  -21.43  0.56654  0.0500  0.250
  239  0.900  -21.18  0.52761  0.0500  0.250
  240  0.900  -20.93  0.45122  0.0500  0.250
  241  0.950  -24.84  0.93819  0.0500  0.250
  242  0.950  -24.59  0.92048  0.0500  0.250
  243  0.950  -24.34  0.92639  0.0500  0.250
  244  0.950  -24.09  0.90618  0.0500  0.250
  245  0.950  -23.84  0.90154  0.0500  0.250
  246  0.950  -23.59  0.84347  0.0500  0.255
  247  0.950  -23.33  0.80547  0.0500  0.255
  248  0.950  -23.08  0.77707  0.0500  0.250
  249  0.950  -22.83  0.76167  0.0500  0.250
  250  0.950  -22.58  0.67420  0.0500  0.250
  251  0.950  -22.33  0.73853  0.0500  0.250
  252  0.950  -22.08  0.73077  0.0500  0.250
  253  0.950  -21.83  0.66815  0.0500  0.250
  254  0.950  -21.58  0.58757  0.0500  0.250
  255  0.950  -21.33  0.53282  0.0500  0.250
  256  0.950  -21.08  0.45958  0.0500  0.250
  257  1.000  -24.96  0.94389  0.0500  0.250
  258  1.000  -24.71  0.92608  0.0500  0.250
  259  1.000  -24.46  0.92546  0.0500  0.250
  260  1.000  -24.21  0.91538  0.0500  0.250
  261  1.000  -23.96  0.90519  0.0500  0.250
  262  1.000  -23.71  0.85815  0.0500  0.250
  263  1.000  -23.46  0.80628  0.0500  0.250
  264  1.000  -23.21  0.77864  0.0500  0.250
  265  1.000  -22.96  0.76631  0.0500  0.250
  266  1.000  -22.71  0.68594  0.0500  0.250
  267  1.000  -22.46  0.74307  0.0500  0.250
  268  1.000  -22.21  0.73303  0.0500  0.250
  269  1.000  -21.96  0.66400  0.0500  0.250
  270  1.000  -21.71  0.57604  0.0500  0.250
  271  1.000  -21.46  0.52630  0.0500  0.250
  272  1.000  -21.21  0.47034  0.0500  0.250
  273  1.050  -25.08  0.94104  0.0500  0.250
  274  1.050  -24.83  0.92328  0.0500  0.250
  275  1.050  -24.58  0.92639  0.0500  0.250
  276  1.050  -24.33  0.90894  0.0500  0.250
  277  1.050  -24.08  0.90885  0.0500  0.250
  278  1.050  -23.83  0.85642  0.0500  0.250
  279  1.050  -23.58  0.80303  0.0500  0.250
  280  1.050  -23.33  0.77078  0.0500  0.250
  281  1.050  -23.08  0.76786  0.0500  0.250
  282  1.050  -22.83  0.67973  0.0500  0.255
  283  1.050  -22.57  0.74382  0.0500  0.255
  284  1.050  -22.32  0.72700  0.0500  0.250
  285  1.050  -22.07  0.67162  0.0500  0.250
  286  1.050  -21.82  0.56789  0.0500  0.250
  287  1.050  -21.57  0.52304  0.0500  0.250
  288  1.050  -21.32  0.45122  0.0500  0.250
