# 2SLAQ selection function in SGP region (Croom et al. 2009, MNRAS, 392, 19)
# M1450 computed with imag corrected for host galaxy light (Croom et al. 2009, MNRAS, 392, 19) and Beta's SED
# selection function corrected for coverage completeness (not all targets observed, different for NGP and SGP regions, Fig 4 in Croom et al.)
# selection function corrected for spectroscopic completeness (redshift success, Fig 6b in Croom et al., only quality=1 redshifts considered)
# Tiles at z >= 2.2 removed from original file.
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
    1  0.200  -21.09  0.76229  0.0500  0.250
    2  0.200  -20.84  0.78550  0.0500  0.275
    3  0.200  -20.54  0.73992  0.0500  0.295
    4  0.200  -20.25  0.66333  0.0500  0.290
    5  0.200  -19.96  0.51083  0.0500  0.295
    6  0.200  -19.66  0.36638  0.0500  0.295
    7  0.200  -19.37  0.21486  0.0500  0.300
    8  0.200  -19.06  0.14285  0.0500  0.315
    9  0.200  -18.74  0.11151  0.0500  0.320
   10  0.200  -18.42  0.05903  0.0500  0.325
   11  0.200  -18.09  0.05908  0.0500  0.335
   12  0.200  -17.75  0.05731  0.0500  0.345
   13  0.200  -17.40  0.03838  0.0500  0.345
   14  0.200  -17.06  0.00555  0.0500  0.345
   15  0.200  -16.71  0.00209  0.0500  0.345
   16  0.200  -16.37  0.00053  0.0500  0.340
   17  0.250  -21.70  0.80796  0.0500  0.250
   18  0.250  -21.45  0.83256  0.0500  0.255
   19  0.250  -21.19  0.83974  0.0500  0.265
   20  0.250  -20.92  0.78455  0.0500  0.270
   21  0.250  -20.65  0.65742  0.0500  0.275
   22  0.250  -20.37  0.49305  0.0500  0.280
   23  0.250  -20.09  0.31105  0.0500  0.280
   24  0.250  -19.81  0.23407  0.0500  0.290
   25  0.250  -19.51  0.18788  0.0500  0.295
   26  0.250  -19.22  0.10945  0.0500  0.290
   27  0.250  -18.93  0.14349  0.0500  0.300
   28  0.250  -18.62  0.14899  0.0500  0.310
   29  0.250  -18.31  0.10427  0.0500  0.310
   30  0.250  -18.00  0.01888  0.0500  0.315
   31  0.250  -17.68  0.00991  0.0500  0.325
   32  0.250  -17.35  0.00737  0.0500  0.330
   33  0.300  -22.14  0.81959  0.0500  0.250
   34  0.300  -21.89  0.84454  0.0500  0.255
   35  0.300  -21.63  0.86163  0.0500  0.260
   36  0.300  -21.37  0.81738  0.0500  0.265
   37  0.300  -21.10  0.69295  0.0500  0.265
   38  0.300  -20.84  0.54395  0.0500  0.270
   39  0.300  -20.56  0.35269  0.0500  0.275
   40  0.300  -20.29  0.27614  0.0500  0.270
   41  0.300  -20.02  0.25673  0.0500  0.275
   42  0.300  -19.74  0.16143  0.0500  0.280
   43  0.300  -19.46  0.22705  0.0500  0.285
   44  0.300  -19.17  0.25154  0.0500  0.285
   45  0.300  -18.89  0.19020  0.0500  0.300
   46  0.300  -18.57  0.05552  0.0500  0.305
   47  0.300  -18.28  0.03494  0.0500  0.300
   48  0.300  -17.97  0.01578  0.0500  0.310
   49  0.350  -22.50  0.81709  0.0500  0.250
   50  0.350  -22.25  0.84197  0.0500  0.255
   51  0.350  -21.99  0.86339  0.0500  0.260
   52  0.350  -21.73  0.83590  0.0500  0.260
   53  0.350  -21.47  0.72553  0.0500  0.260
   54  0.350  -21.21  0.57059  0.0500  0.260
   55  0.350  -20.95  0.39142  0.0500  0.260
   56  0.350  -20.69  0.32282  0.0500  0.265
   57  0.350  -20.42  0.30621  0.0500  0.270
   58  0.350  -20.15  0.20635  0.0500  0.270
   59  0.350  -19.88  0.29921  0.0500  0.275
   60  0.350  -19.60  0.36615  0.0500  0.280
   61  0.350  -19.32  0.28760  0.0500  0.280
   62  0.350  -19.04  0.09938  0.0500  0.290
   63  0.350  -18.74  0.06153  0.0500  0.295
   64  0.350  -18.45  0.04051  0.0500  0.290
   65  0.400  -22.79  0.81793  0.0500  0.250
   66  0.400  -22.54  0.84283  0.0500  0.250
   67  0.400  -22.29  0.86601  0.0500  0.255
   68  0.400  -22.03  0.83253  0.0500  0.255
   69  0.400  -21.78  0.73219  0.0500  0.255
   70  0.400  -21.52  0.58242  0.0500  0.260
   71  0.400  -21.26  0.40682  0.0500  0.260
   72  0.400  -21.00  0.33873  0.0500  0.260
   73  0.400  -20.74  0.33130  0.0500  0.265
   74  0.400  -20.47  0.23482  0.0500  0.265
   75  0.400  -20.21  0.35914  0.0500  0.265
   76  0.400  -19.94  0.45422  0.0500  0.270
   77  0.400  -19.67  0.38556  0.0500  0.275
   78  0.400  -19.39  0.16100  0.0500  0.280
   79  0.400  -19.11  0.11263  0.0500  0.285
   80  0.400  -18.82  0.07787  0.0500  0.290
   81  0.450  -23.05  0.81211  0.0500  0.250
   82  0.450  -22.80  0.83684  0.0500  0.250
   83  0.450  -22.55  0.86426  0.0500  0.255
   84  0.450  -22.29  0.82917  0.0500  0.255
   85  0.450  -22.04  0.72405  0.0500  0.255
   86  0.450  -21.78  0.57769  0.0500  0.255
   87  0.450  -21.53  0.39891  0.0500  0.255
   88  0.450  -21.27  0.33413  0.0500  0.260
   89  0.450  -21.01  0.33130  0.0500  0.260
   90  0.450  -20.75  0.23535  0.0500  0.260
   91  0.450  -20.49  0.36209  0.0500  0.265
   92  0.450  -20.22  0.48740  0.0500  0.265
   93  0.450  -19.96  0.41707  0.0500  0.270
   94  0.450  -19.68  0.17933  0.0500  0.275
   95  0.450  -19.41  0.13975  0.0500  0.270
   96  0.450  -19.14  0.12417  0.0500  0.270
   97  0.500  -23.29  0.81211  0.0500  0.250
   98  0.500  -23.04  0.83684  0.0500  0.255
   99  0.500  -22.78  0.85463  0.0500  0.255
  100  0.500  -22.53  0.82412  0.0500  0.250
  101  0.500  -22.28  0.71739  0.0500  0.255
  102  0.500  -22.02  0.56526  0.0500  0.255
  103  0.500  -21.77  0.39558  0.0500  0.255
  104  0.500  -21.51  0.32741  0.0500  0.255
  105  0.500  -21.26  0.32915  0.0500  0.255
  106  0.500  -21.00  0.22986  0.0500  0.260
  107  0.500  -20.74  0.36716  0.0500  0.260
  108  0.500  -20.48  0.47955  0.0500  0.260
  109  0.500  -20.22  0.42338  0.0500  0.260
  110  0.500  -19.96  0.20431  0.0500  0.270
  111  0.500  -19.68  0.16061  0.0500  0.270
  112  0.500  -19.42  0.14206  0.0500  0.260
  113  0.550  -23.51  0.79883  0.0500  0.250
  114  0.550  -23.26  0.82315  0.0500  0.255
  115  0.550  -23.00  0.83449  0.0500  0.255
  116  0.550  -22.75  0.80391  0.0500  0.250
  117  0.550  -22.50  0.69814  0.0500  0.250
  118  0.550  -22.25  0.55756  0.0500  0.255
  119  0.550  -21.99  0.38392  0.0500  0.255
  120  0.550  -21.74  0.32352  0.0500  0.250
  121  0.550  -21.49  0.32449  0.0500  0.255
  122  0.550  -21.23  0.22594  0.0500  0.260
  123  0.550  -20.97  0.35407  0.0500  0.260
  124  0.550  -20.71  0.45422  0.0500  0.255
  125  0.550  -20.46  0.41249  0.0500  0.255
  126  0.550  -20.20  0.22263  0.0500  0.265
  127  0.550  -19.93  0.17051  0.0500  0.270
  128  0.550  -19.66  0.13522  0.0500  0.270
  129  0.600  -23.71  0.78305  0.0500  0.250
  130  0.600  -23.46  0.80689  0.0500  0.250
  131  0.600  -23.21  0.83799  0.0500  0.255
  132  0.600  -22.95  0.78539  0.0500  0.255
  133  0.600  -22.70  0.68851  0.0500  0.250
  134  0.600  -22.45  0.54809  0.0500  0.250
  135  0.600  -22.20  0.37976  0.0500  0.250
  136  0.600  -21.95  0.31681  0.0500  0.255
  137  0.600  -21.69  0.30943  0.0500  0.255
  138  0.600  -21.44  0.22203  0.0500  0.255
  139  0.600  -21.18  0.34141  0.0500  0.255
  140  0.600  -20.93  0.47232  0.0500  0.255
  141  0.600  -20.67  0.40963  0.0500  0.260
  142  0.600  -20.41  0.21763  0.0500  0.260
  143  0.600  -20.15  0.17521  0.0500  0.260
  144  0.600  -19.89  0.15574  0.0500  0.260
  145  0.650  -23.89  0.79634  0.0500  0.250
  146  0.650  -23.64  0.82058  0.0500  0.250
  147  0.650  -23.39  0.83712  0.0500  0.250
  148  0.650  -23.14  0.78287  0.0500  0.250
  149  0.650  -22.89  0.69295  0.0500  0.250
  150  0.650  -22.64  0.53685  0.0500  0.250
  151  0.650  -22.39  0.37976  0.0500  0.250
  152  0.650  -22.14  0.31928  0.0500  0.255
  153  0.650  -21.88  0.32270  0.0500  0.255
  154  0.650  -21.63  0.22647  0.0500  0.250
  155  0.650  -21.38  0.35323  0.0500  0.255
  156  0.650  -21.12  0.47473  0.0500  0.255
  157  0.650  -20.87  0.41650  0.0500  0.255
  158  0.650  -20.61  0.26316  0.0500  0.255
  159  0.650  -20.36  0.22527  0.0500  0.255
  160  0.650  -20.10  0.18994  0.0500  0.260
  161  0.700  -24.07  0.79551  0.0500  0.250
  162  0.700  -23.82  0.81972  0.0500  0.250
  163  0.700  -23.57  0.83799  0.0500  0.250
  164  0.700  -23.32  0.79886  0.0500  0.250
  165  0.700  -23.07  0.71516  0.0500  0.250
  166  0.700  -22.82  0.56348  0.0500  0.250
  167  0.700  -22.57  0.39391  0.0500  0.255
  168  0.700  -22.31  0.33166  0.0500  0.255
  169  0.700  -22.06  0.33130  0.0500  0.250
  170  0.700  -21.81  0.23430  0.0500  0.250
  171  0.700  -21.56  0.37560  0.0500  0.255
  172  0.700  -21.30  0.51032  0.0500  0.255
  173  0.700  -21.05  0.47379  0.0500  0.250
  174  0.700  -20.80  0.32645  0.0500  0.255
  175  0.700  -20.54  0.27950  0.0500  0.255
  176  0.700  -20.29  0.24518  0.0500  0.250
  177  0.750  -24.23  0.79135  0.0500  0.250
  178  0.750  -23.98  0.81545  0.0500  0.250
