# SDSS selection function for color-selected z<2.4 QSOs (Richards et al. 2006)
# selection function corrected for photometric incompleteness (5%) and patched (NaN values set to zero,
# imag=19.1 tile patched with imag=19.0 tile to avoid zero selection probability at magnitude limit)
# selection functions for radio-selected targets and extended targets virtually identical
# M1450 computed with imag corrected for host galaxy light (Croom et al. 2009, MNRAS, 392, 19) and Beta's SED
# Croom et al.: host galaxy contribution significant and model-dependent at z<0.4 -> take z<0.4 data with caution
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only at low redshift due to host-galaxy correction.
# counter  z    M1450  p   dz   dmag  
    1  0.050  -20.39  0.95000  0.0500  0.100
    2  0.050  -20.29  0.95000  0.0500  0.100
    3  0.050  -20.19  0.95000  0.0500  0.100
    4  0.050  -20.09  0.95000  0.0500  0.100
    5  0.050  -19.99  0.95000  0.0500  0.100
    6  0.050  -19.89  0.95000  0.0500  0.100
    7  0.050  -19.79  0.95000  0.0500  0.100
    8  0.050  -19.69  0.95000  0.0500  0.100
    9  0.050  -19.59  0.95000  0.0500  0.100
   10  0.050  -19.49  0.95000  0.0500  0.100
   11  0.050  -19.39  0.95000  0.0500  0.100
   12  0.050  -19.29  0.95000  0.0500  0.100
   13  0.050  -19.19  0.95000  0.0500  0.100
   14  0.050  -19.09  0.95000  0.0500  0.100
   15  0.050  -18.99  0.95000  0.0500  0.100
   16  0.050  -18.89  0.95000  0.0500  0.100
   17  0.050  -18.79  0.95000  0.0500  0.100
   18  0.050  -18.69  0.95000  0.0500  0.100
   19  0.050  -18.59  0.95000  0.0500  0.105
   20  0.050  -18.48  0.95000  0.0500  0.105
   21  0.050  -18.38  0.95000  0.0500  0.100
   22  0.050  -18.28  0.95000  0.0500  0.180
   23  0.050  -18.02  0.95000  0.0500  0.180
   24  0.050  -17.92  0.95000  0.0500  0.175
   25  0.050  -17.67  0.95000  0.0500  0.175
   26  0.050  -17.57  0.95000  0.0500  0.100
   27  0.050  -17.47  0.95000  0.0500  0.180
   28  0.050  -17.21  0.95000  0.0500  0.180
   29  0.050  -17.11  0.95000  0.0500  0.180
   30  0.050  -16.85  0.95000  0.0500  0.180
   31  0.050  -16.75  0.95000  0.0500  0.100
   32  0.050  -16.65  0.95000  0.0500  0.185
   33  0.050  -16.38  0.95000  0.0500  0.185
   34  0.050  -16.28  0.95000  0.0500  0.190
   35  0.050  -16.00  0.95000  0.0500  0.190
   36  0.050  -15.90  0.95000  0.0500  0.100
   37  0.050  -15.80  0.95000  0.0500  0.160
   38  0.050  -15.58  0.95000  0.0500  0.160
   39  0.050  -15.48  0.95000  0.0500  0.175
   40  0.050  -15.23  0.95000  0.0500  0.175
   41  0.050  -15.13  0.95000  0.0500  0.100
   42  0.050  -15.03  0.95000  0.0500  0.175
   43  0.050  -14.78  0.00000  0.0500  0.175
   44  0.050  -14.68  0.00000  0.0500  0.170
   45  0.050  -14.44  0.00000  0.0500  0.170
   46  0.050  -14.34  0.00000  0.0500  0.100
   47  0.050  -14.24  0.00000  0.0500  0.190
   48  0.050  -13.96  0.00000  0.0500  0.190
   49  0.050  -13.86  0.00000  0.0500  0.190
   50  0.050  -13.58  0.00000  0.0500  0.190
   51  0.050  -13.48  0.00000  0.0500  0.100
   52  0.050  -13.38  0.00000  0.0500  0.195
   53  0.050  -13.09  0.00000  0.0500  0.290
   54  0.100  -21.89  0.95000  0.0500  0.100
   55  0.100  -21.79  0.95000  0.0500  0.100
   56  0.100  -21.69  0.95000  0.0500  0.100
   57  0.100  -21.59  0.95000  0.0500  0.100
   58  0.100  -21.49  0.95000  0.0500  0.100
   59  0.100  -21.39  0.95000  0.0500  0.100
   60  0.100  -21.29  0.95000  0.0500  0.100
   61  0.100  -21.19  0.95000  0.0500  0.100
   62  0.100  -21.09  0.95000  0.0500  0.100
   63  0.100  -20.99  0.95000  0.0500  0.100
   64  0.100  -20.89  0.95000  0.0500  0.100
   65  0.100  -20.79  0.95000  0.0500  0.100
   66  0.100  -20.69  0.95000  0.0500  0.100
   67  0.100  -20.59  0.95000  0.0500  0.100
   68  0.100  -20.49  0.95000  0.0500  0.100
   69  0.100  -20.39  0.95000  0.0500  0.100
   70  0.100  -20.29  0.95000  0.0500  0.100
   71  0.100  -20.19  0.95000  0.0500  0.100
   72  0.100  -20.09  0.95000  0.0500  0.105
   73  0.100  -19.98  0.95000  0.0500  0.105
   74  0.100  -19.88  0.95000  0.0500  0.100
   75  0.100  -19.78  0.95000  0.0500  0.180
   76  0.100  -19.52  0.95000  0.0500  0.180
   77  0.100  -19.42  0.95000  0.0500  0.175
   78  0.100  -19.17  0.95000  0.0500  0.175
   79  0.100  -19.07  0.95000  0.0500  0.100
   80  0.100  -18.97  0.95000  0.0500  0.180
   81  0.100  -18.71  0.95000  0.0500  0.180
   82  0.100  -18.61  0.95000  0.0500  0.180
   83  0.100  -18.35  0.95000  0.0500  0.180
   84  0.100  -18.25  0.95000  0.0500  0.100
   85  0.100  -18.15  0.95000  0.0500  0.185
   86  0.100  -17.88  0.95000  0.0500  0.185
   87  0.100  -17.78  0.95000  0.0500  0.190
   88  0.100  -17.50  0.95000  0.0500  0.190
   89  0.100  -17.40  0.95000  0.0500  0.100
   90  0.100  -17.30  0.95000  0.0500  0.160
   91  0.100  -17.08  0.95000  0.0500  0.160
   92  0.100  -16.98  0.95000  0.0500  0.175
   93  0.100  -16.73  0.95000  0.0500  0.175
   94  0.100  -16.63  0.95000  0.0500  0.100
   95  0.100  -16.53  0.95000  0.0500  0.175
   96  0.100  -16.28  0.00000  0.0500  0.175
   97  0.100  -16.18  0.00000  0.0500  0.170
   98  0.100  -15.94  0.00000  0.0500  0.170
   99  0.100  -15.84  0.00000  0.0500  0.100
  100  0.100  -15.74  0.00000  0.0500  0.190
  101  0.100  -15.46  0.00000  0.0500  0.190
  102  0.100  -15.36  0.00000  0.0500  0.190
  103  0.100  -15.08  0.00000  0.0500  0.190
  104  0.100  -14.98  0.00000  0.0500  0.100
  105  0.100  -14.88  0.00950  0.0500  0.195
  106  0.100  -14.59  0.00000  0.0500  0.290
  107  0.150  -22.88  0.95000  0.0500  0.100
  108  0.150  -22.78  0.95000  0.0500  0.100
  109  0.150  -22.68  0.95000  0.0500  0.100
  110  0.150  -22.58  0.95000  0.0500  0.100
  111  0.150  -22.48  0.95000  0.0500  0.100
  112  0.150  -22.38  0.95000  0.0500  0.100
  113  0.150  -22.28  0.95000  0.0500  0.100
  114  0.150  -22.18  0.95000  0.0500  0.100
  115  0.150  -22.08  0.95000  0.0500  0.100
  116  0.150  -21.98  0.95000  0.0500  0.100
  117  0.150  -21.88  0.95000  0.0500  0.100
  118  0.150  -21.78  0.95000  0.0500  0.100
  119  0.150  -21.68  0.95000  0.0500  0.100
  120  0.150  -21.58  0.95000  0.0500  0.100
  121  0.150  -21.48  0.95000  0.0500  0.100
  122  0.150  -21.38  0.95000  0.0500  0.100
  123  0.150  -21.28  0.95000  0.0500  0.100
  124  0.150  -21.18  0.95000  0.0500  0.100
  125  0.150  -21.08  0.95000  0.0500  0.105
  126  0.150  -20.97  0.95000  0.0500  0.105
  127  0.150  -20.87  0.95000  0.0500  0.100
  128  0.150  -20.77  0.95000  0.0500  0.180
  129  0.150  -20.51  0.95000  0.0500  0.180
  130  0.150  -20.41  0.95000  0.0500  0.175
  131  0.150  -20.16  0.95000  0.0500  0.175
  132  0.150  -20.06  0.95000  0.0500  0.100
  133  0.150  -19.96  0.95000  0.0500  0.180
  134  0.150  -19.70  0.95000  0.0500  0.180
  135  0.150  -19.60  0.95000  0.0500  0.180
  136  0.150  -19.34  0.95000  0.0500  0.180
  137  0.150  -19.24  0.95000  0.0500  0.100
  138  0.150  -19.14  0.95000  0.0500  0.185
  139  0.150  -18.87  0.95000  0.0500  0.185
  140  0.150  -18.77  0.95000  0.0500  0.190
  141  0.150  -18.49  0.95000  0.0500  0.190
  142  0.150  -18.39  0.95000  0.0500  0.100
  143  0.150  -18.29  0.95000  0.0500  0.160
  144  0.150  -18.07  0.95000  0.0500  0.160
  145  0.150  -17.97  0.95000  0.0500  0.175
  146  0.150  -17.72  0.95000  0.0500  0.175
  147  0.150  -17.62  0.95000  0.0500  0.100
  148  0.150  -17.52  0.95000  0.0500  0.175
  149  0.150  -17.27  0.00000  0.0500  0.175
  150  0.150  -17.17  0.00000  0.0500  0.170
  151  0.150  -16.93  0.00000  0.0500  0.170
  152  0.150  -16.83  0.00000  0.0500  0.100
  153  0.150  -16.73  0.00000  0.0500  0.190
  154  0.150  -16.45  0.00000  0.0500  0.190
  155  0.150  -16.35  0.00000  0.0500  0.190
  156  0.150  -16.07  0.00000  0.0500  0.190
  157  0.150  -15.97  0.00000  0.0500  0.100
  158  0.150  -15.87  0.00000  0.0500  0.195
  159  0.150  -15.58  0.00000  0.0500  0.290
  160  0.200  -23.61  0.95000  0.0500  0.100
  161  0.200  -23.51  0.95000  0.0500  0.100
  162  0.200  -23.41  0.95000  0.0500  0.100
  163  0.200  -23.31  0.95000  0.0500  0.100
  164  0.200  -23.21  0.95000  0.0500  0.100
  165  0.200  -23.11  0.95000  0.0500  0.100
  166  0.200  -23.01  0.95000  0.0500  0.100
  167  0.200  -22.91  0.95000  0.0500  0.100
  168  0.200  -22.81  0.95000  0.0500  0.100
  169  0.200  -22.71  0.95000  0.0500  0.100
  170  0.200  -22.61  0.95000  0.0500  0.100
