# SDSS selection function (Richards et al. 2006), z>3.6
# M1450 computed with Beta's template, K correction uncertain at z>4.7 (Lya emission and forest in i band)
# selection function corrected for photometric incompleteness
# z>4.7 selection function differs significantly (factor ~2) from McGreer et al. 2013
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
    1  3.650  -30.65  0.95000  0.0500  0.100
    2  3.650  -30.55  0.95000  0.0500  0.100
    3  3.650  -30.45  0.94525  0.0500  0.100
    4  3.650  -30.35  0.94525  0.0500  0.100
    5  3.650  -30.25  0.94525  0.0500  0.100
    6  3.650  -30.15  0.94525  0.0500  0.100
    7  3.650  -30.05  0.94525  0.0500  0.100
    8  3.650  -29.95  0.94525  0.0500  0.100
    9  3.650  -29.85  0.94525  0.0500  0.100
   10  3.650  -29.75  0.94525  0.0500  0.100
   11  3.650  -29.65  0.94525  0.0500  0.100
   12  3.650  -29.55  0.94525  0.0500  0.100
   13  3.650  -29.45  0.94525  0.0500  0.100
   14  3.650  -29.35  0.94525  0.0500  0.100
   15  3.650  -29.25  0.94525  0.0500  0.100
   16  3.650  -29.15  0.94525  0.0500  0.100
   17  3.650  -29.05  0.94525  0.0500  0.100
   18  3.650  -28.95  0.94525  0.0500  0.100
   19  3.650  -28.85  0.94525  0.0500  0.100
   20  3.650  -28.75  0.94525  0.0500  0.100
   21  3.650  -28.65  0.94525  0.0500  0.100
   22  3.650  -28.55  0.94050  0.0500  0.100
   23  3.650  -28.45  0.94050  0.0500  0.100
   24  3.650  -28.35  0.93575  0.0500  0.100
   25  3.650  -28.25  0.94525  0.0500  0.100
   26  3.650  -28.15  0.94050  0.0500  0.100
   27  3.650  -28.05  0.94050  0.0500  0.100
   28  3.650  -27.95  0.93575  0.0500  0.100
   29  3.650  -27.85  0.93575  0.0500  0.100
   30  3.650  -27.75  0.93575  0.0500  0.100
   31  3.650  -27.65  0.94050  0.0500  0.100
   32  3.650  -27.55  0.93100  0.0500  0.100
   33  3.650  -27.45  0.92625  0.0500  0.100
   34  3.650  -27.35  0.94525  0.0500  0.100
   35  3.650  -27.25  0.94050  0.0500  0.100
   36  3.650  -27.15  0.92625  0.0500  0.100
   37  3.650  -27.05  0.92150  0.0500  0.100
   38  3.650  -26.95  0.91675  0.0500  0.100
   39  3.650  -26.85  0.91770  0.0500  0.100
   40  3.650  -26.75  0.88350  0.0500  0.100
   41  3.650  -26.65  0.89585  0.0500  0.100
   42  3.650  -26.55  0.86925  0.0500  0.100
   43  3.650  -26.45  0.88445  0.0500  0.100
   44  3.650  -26.35  0.84930  0.0500  0.100
   45  3.650  -26.25  0.84170  0.0500  0.100
   46  3.650  -26.15  0.82175  0.0500  0.100
   47  3.650  -26.05  0.80940  0.0500  0.100
   48  3.650  -25.95  0.81130  0.0500  0.100
   49  3.650  -25.85  0.79800  0.0500  0.100
   50  3.650  -25.75  0.78375  0.0500  0.100
   51  3.650  -25.65  0.76380  0.0500  0.100
   52  3.650  -25.55  0.75905  0.0500  0.100
   53  3.650  -25.45  0.75905  0.0500  0.100
   54  3.700  -30.68  0.94525  0.0500  0.100
   55  3.700  -30.58  0.95000  0.0500  0.100
   56  3.700  -30.48  0.95000  0.0500  0.100
   57  3.700  -30.38  0.95000  0.0500  0.100
   58  3.700  -30.28  0.95000  0.0500  0.100
   59  3.700  -30.18  0.95000  0.0500  0.100
   60  3.700  -30.08  0.95000  0.0500  0.100
   61  3.700  -29.98  0.94525  0.0500  0.100
   62  3.700  -29.88  0.95000  0.0500  0.100
   63  3.700  -29.78  0.94525  0.0500  0.100
   64  3.700  -29.68  0.95000  0.0500  0.100
   65  3.700  -29.58  0.95000  0.0500  0.100
   66  3.700  -29.48  0.95000  0.0500  0.100
   67  3.700  -29.38  0.95000  0.0500  0.100
   68  3.700  -29.28  0.94525  0.0500  0.100
   69  3.700  -29.18  0.94525  0.0500  0.100
   70  3.700  -29.08  0.95000  0.0500  0.100
   71  3.700  -28.98  0.94525  0.0500  0.100
   72  3.700  -28.88  0.95000  0.0500  0.100
   73  3.700  -28.78  0.95000  0.0500  0.100
   74  3.700  -28.68  0.94525  0.0500  0.100
   75  3.700  -28.58  0.94525  0.0500  0.100
   76  3.700  -28.48  0.94525  0.0500  0.100
   77  3.700  -28.38  0.94525  0.0500  0.100
   78  3.700  -28.28  0.94525  0.0500  0.100
   79  3.700  -28.18  0.94525  0.0500  0.100
   80  3.700  -28.08  0.95000  0.0500  0.100
   81  3.700  -27.98  0.94525  0.0500  0.100
   82  3.700  -27.88  0.95000  0.0500  0.100
   83  3.700  -27.78  0.94525  0.0500  0.100
   84  3.700  -27.68  0.94525  0.0500  0.100
   85  3.700  -27.58  0.95000  0.0500  0.100
   86  3.700  -27.48  0.94525  0.0500  0.100
   87  3.700  -27.38  0.94525  0.0500  0.100
   88  3.700  -27.28  0.94525  0.0500  0.100
   89  3.700  -27.18  0.94525  0.0500  0.100
   90  3.700  -27.08  0.94050  0.0500  0.100
   91  3.700  -26.98  0.94525  0.0500  0.100
   92  3.700  -26.88  0.94525  0.0500  0.100
   93  3.700  -26.78  0.93575  0.0500  0.100
   94  3.700  -26.68  0.94525  0.0500  0.100
   95  3.700  -26.58  0.93100  0.0500  0.100
   96  3.700  -26.48  0.93100  0.0500  0.100
   97  3.700  -26.38  0.92625  0.0500  0.100
   98  3.700  -26.28  0.93575  0.0500  0.100
   99  3.700  -26.18  0.92245  0.0500  0.100
  100  3.700  -26.08  0.91295  0.0500  0.100
  101  3.700  -25.98  0.93005  0.0500  0.100
  102  3.700  -25.88  0.91770  0.0500  0.100
  103  3.700  -25.78  0.89395  0.0500  0.100
  104  3.700  -25.68  0.89585  0.0500  0.100
  105  3.700  -25.58  0.87210  0.0500  0.100
  106  3.700  -25.48  0.87210  0.0500  0.100
  107  3.750  -30.72  0.94525  0.0500  0.100
  108  3.750  -30.62  0.94525  0.0500  0.100
  109  3.750  -30.52  0.94525  0.0500  0.100
  110  3.750  -30.42  0.94525  0.0500  0.100
  111  3.750  -30.32  0.94525  0.0500  0.100
  112  3.750  -30.22  0.94525  0.0500  0.100
  113  3.750  -30.12  0.94525  0.0500  0.100
  114  3.750  -30.02  0.94525  0.0500  0.100
  115  3.750  -29.92  0.94525  0.0500  0.100
  116  3.750  -29.82  0.94525  0.0500  0.100
  117  3.750  -29.72  0.94525  0.0500  0.100
  118  3.750  -29.62  0.94525  0.0500  0.100
  119  3.750  -29.52  0.94525  0.0500  0.100
  120  3.750  -29.42  0.94525  0.0500  0.100
  121  3.750  -29.32  0.94525  0.0500  0.100
  122  3.750  -29.22  0.94525  0.0500  0.100
  123  3.750  -29.12  0.94525  0.0500  0.100
  124  3.750  -29.02  0.94525  0.0500  0.100
  125  3.750  -28.92  0.94525  0.0500  0.100
  126  3.750  -28.82  0.94525  0.0500  0.100
  127  3.750  -28.72  0.94525  0.0500  0.100
  128  3.750  -28.62  0.94525  0.0500  0.100
  129  3.750  -28.52  0.94525  0.0500  0.100
  130  3.750  -28.42  0.94525  0.0500  0.100
  131  3.750  -28.32  0.94525  0.0500  0.100
  132  3.750  -28.22  0.94525  0.0500  0.100
  133  3.750  -28.12  0.94525  0.0500  0.100
  134  3.750  -28.02  0.94525  0.0500  0.100
  135  3.750  -27.92  0.94525  0.0500  0.100
  136  3.750  -27.82  0.94525  0.0500  0.100
  137  3.750  -27.72  0.94525  0.0500  0.100
  138  3.750  -27.62  0.94525  0.0500  0.100
  139  3.750  -27.52  0.94525  0.0500  0.100
  140  3.750  -27.42  0.94525  0.0500  0.100
  141  3.750  -27.32  0.94525  0.0500  0.100
  142  3.750  -27.22  0.94050  0.0500  0.100
  143  3.750  -27.12  0.94525  0.0500  0.100
  144  3.750  -27.02  0.94050  0.0500  0.100
  145  3.750  -26.92  0.93575  0.0500  0.100
  146  3.750  -26.82  0.94525  0.0500  0.100
  147  3.750  -26.72  0.94050  0.0500  0.100
  148  3.750  -26.62  0.94050  0.0500  0.100
  149  3.750  -26.52  0.93195  0.0500  0.100
  150  3.750  -26.42  0.93575  0.0500  0.100
  151  3.750  -26.32  0.94050  0.0500  0.100
  152  3.750  -26.22  0.91200  0.0500  0.100
  153  3.750  -26.12  0.93100  0.0500  0.100
  154  3.750  -26.02  0.91675  0.0500  0.100
  155  3.750  -25.92  0.88635  0.0500  0.100
  156  3.750  -25.82  0.92150  0.0500  0.100
  157  3.750  -25.72  0.91580  0.0500  0.100
  158  3.750  -25.62  0.88065  0.0500  0.100
  159  3.750  -25.52  0.88065  0.0500  0.100
  160  3.800  -30.75  0.94525  0.0500  0.100
  161  3.800  -30.65  0.94525  0.0500  0.100
  162  3.800  -30.55  0.94525  0.0500  0.100
  163  3.800  -30.45  0.94525  0.0500  0.100
  164  3.800  -30.35  0.94525  0.0500  0.100
  165  3.800  -30.25  0.94525  0.0500  0.100
  166  3.800  -30.15  0.94525  0.0500  0.100
  167  3.800  -30.05  0.94525  0.0500  0.100
  168  3.800  -29.95  0.94525  0.0500  0.100
  169  3.800  -29.85  0.94525  0.0500  0.100
  170  3.800  -29.75  0.94525  0.0500  0.100
  171  3.800  -29.65  0.94525  0.0500  0.100
  172  3.800  -29.55  0.94525  0.0500  0.100
  173  3.800  -29.45  0.94525  0.0500  0.100
  174  3.800  -29.35  0.94525  0.0500  0.100
  175  3.800  -29.25  0.94525  0.0500  0.100
  176  3.800  -29.15  0.94525  0.0500  0.100
  177  3.800  -29.05  0.94525  0.0500  0.100
  178  3.800  -28.95  0.94525  0.0500  0.100
  179  3.800  -28.85  0.94525  0.0500  0.100
  180  3.800  -28.75  0.94525  0.0500  0.100
  181  3.800  -28.65  0.94525  0.0500  0.100
  182  3.800  -28.55  0.94525  0.0500  0.100
  183  3.800  -28.45  0.94525  0.0500  0.100
  184  3.800  -28.35  0.94525  0.0500  0.100
  185  3.800  -28.25  0.94525  0.0500  0.100
  186  3.800  -28.15  0.94525  0.0500  0.100
  187  3.800  -28.05  0.94525  0.0500  0.100
  188  3.800  -27.95  0.94525  0.0500  0.100
  189  3.800  -27.85  0.94525  0.0500  0.100
  190  3.800  -27.75  0.94525  0.0500  0.100
  191  3.800  -27.65  0.94525  0.0500  0.100
  192  3.800  -27.55  0.94525  0.0500  0.100
  193  3.800  -27.45  0.94525  0.0500  0.100
  194  3.800  -27.35  0.94525  0.0500  0.100
  195  3.800  -27.25  0.94525  0.0500  0.100
  196  3.800  -27.15  0.94525  0.0500  0.100
  197  3.800  -27.05  0.94525  0.0500  0.100
  198  3.800  -26.95  0.94525  0.0500  0.100
  199  3.800  -26.85  0.94050  0.0500  0.100
  200  3.800  -26.75  0.94050  0.0500  0.100
  201  3.800  -26.65  0.94525  0.0500  0.100
  202  3.800  -26.55  0.94050  0.0500  0.100
  203  3.800  -26.45  0.95000  0.0500  0.100
  204  3.800  -26.35  0.94525  0.0500  0.100
  205  3.800  -26.25  0.93575  0.0500  0.100
  206  3.800  -26.15  0.93480  0.0500  0.100
  207  3.800  -26.05  0.91390  0.0500  0.100
  208  3.800  -25.95  0.93005  0.0500  0.100
  209  3.800  -25.85  0.91295  0.0500  0.100
  210  3.800  -25.75  0.92150  0.0500  0.100
  211  3.800  -25.65  0.90820  0.0500  0.100
  212  3.800  -25.55  0.90820  0.0500  0.100
  213  3.850  -30.78  0.94050  0.0500  0.100
  214  3.850  -30.68  0.94050  0.0500  0.100
  215  3.850  -30.58  0.94050  0.0500  0.100
  216  3.850  -30.48  0.94050  0.0500  0.100
  217  3.850  -30.38  0.94050  0.0500  0.100
  218  3.850  -30.28  0.94050  0.0500  0.100
  219  3.850  -30.18  0.94050  0.0500  0.100
  220  3.850  -30.08  0.94050  0.0500  0.100
  221  3.850  -29.98  0.94050  0.0500  0.100
  222  3.850  -29.88  0.94050  0.0500  0.100
  223  3.850  -29.78  0.94050  0.0500  0.100
  224  3.850  -29.68  0.94050  0.0500  0.100
  225  3.850  -29.58  0.94050  0.0500  0.100
  226  3.850  -29.48  0.94050  0.0500  0.100
  227  3.850  -29.38  0.94050  0.0500  0.100
  228  3.850  -29.28  0.94050  0.0500  0.100
  229  3.850  -29.18  0.94050  0.0500  0.100
  230  3.850  -29.08  0.94050  0.0500  0.100
  231  3.850  -28.98  0.94050  0.0500  0.100
  232  3.850  -28.88  0.94050  0.0500  0.100
  233  3.850  -28.78  0.94050  0.0500  0.100
  234  3.850  -28.68  0.94050  0.0500  0.100
  235  3.850  -28.58  0.94050  0.0500  0.100
  236  3.850  -28.48  0.94050  0.0500  0.100
  237  3.850  -28.38  0.94050  0.0500  0.100
  238  3.850  -28.28  0.94050  0.0500  0.100
  239  3.850  -28.18  0.94050  0.0500  0.100
  240  3.850  -28.08  0.94050  0.0500  0.100
  241  3.850  -27.98  0.94050  0.0500  0.100
  242  3.850  -27.88  0.94050  0.0500  0.100
  243  3.850  -27.78  0.94050  0.0500  0.100
  244  3.850  -27.68  0.94050  0.0500  0.100
  245  3.850  -27.58  0.93575  0.0500  0.100
  246  3.850  -27.48  0.94050  0.0500  0.100
  247  3.850  -27.38  0.94050  0.0500  0.100
  248  3.850  -27.28  0.94050  0.0500  0.100
  249  3.850  -27.18  0.93005  0.0500  0.100
  250  3.850  -27.08  0.94050  0.0500  0.100
  251  3.850  -26.98  0.93575  0.0500  0.100
  252  3.850  -26.88  0.94050  0.0500  0.100
  253  3.850  -26.78  0.93005  0.0500  0.100
  254  3.850  -26.68  0.91770  0.0500  0.100
  255  3.850  -26.58  0.92245  0.0500  0.100
  256  3.850  -26.48  0.90535  0.0500  0.100
  257  3.850  -26.38  0.90250  0.0500  0.100
  258  3.850  -26.28  0.90725  0.0500  0.100
  259  3.850  -26.18  0.88160  0.0500  0.100
  260  3.850  -26.08  0.89110  0.0500  0.100
  261  3.850  -25.98  0.88540  0.0500  0.100
  262  3.850  -25.88  0.91200  0.0500  0.100
  263  3.850  -25.78  0.87780  0.0500  0.100
  264  3.850  -25.68  0.86165  0.0500  0.100
  265  3.850  -25.58  0.86165  0.0500  0.100
  266  3.900  -30.80  0.95000  0.0500  0.100
  267  3.900  -30.70  0.94525  0.0500  0.100
  268  3.900  -30.60  0.94525  0.0500  0.100
  269  3.900  -30.50  0.95000  0.0500  0.100
  270  3.900  -30.40  0.94525  0.0500  0.100
  271  3.900  -30.30  0.94525  0.0500  0.100
  272  3.900  -30.20  0.94525  0.0500  0.100
  273  3.900  -30.10  0.94525  0.0500  0.100
  274  3.900  -30.00  0.94525  0.0500  0.100
  275  3.900  -29.90  0.95000  0.0500  0.100
  276  3.900  -29.80  0.94525  0.0500  0.100
  277  3.900  -29.70  0.94525  0.0500  0.100
  278  3.900  -29.60  0.94525  0.0500  0.100
  279  3.900  -29.50  0.94525  0.0500  0.100
  280  3.900  -29.40  0.94525  0.0500  0.100
  281  3.900  -29.30  0.94525  0.0500  0.100
  282  3.900  -29.20  0.95000  0.0500  0.100
  283  3.900  -29.10  0.95000  0.0500  0.100
  284  3.900  -29.00  0.95000  0.0500  0.100
  285  3.900  -28.90  0.94525  0.0500  0.100
  286  3.900  -28.80  0.95000  0.0500  0.100
  287  3.900  -28.70  0.94525  0.0500  0.100
  288  3.900  -28.60  0.94525  0.0500  0.100
  289  3.900  -28.50  0.94525  0.0500  0.100
  290  3.900  -28.40  0.94525  0.0500  0.100
  291  3.900  -28.30  0.94525  0.0500  0.100
  292  3.900  -28.20  0.94525  0.0500  0.100
  293  3.900  -28.10  0.94525  0.0500  0.100
  294  3.900  -28.00  0.94525  0.0500  0.100
  295  3.900  -27.90  0.95000  0.0500  0.100
  296  3.900  -27.80  0.94525  0.0500  0.100
  297  3.900  -27.70  0.95000  0.0500  0.100
  298  3.900  -27.60  0.94525  0.0500  0.100
  299  3.900  -27.50  0.94525  0.0500  0.100
  300  3.900  -27.40  0.94525  0.0500  0.100
  301  3.900  -27.30  0.94525  0.0500  0.100
  302  3.900  -27.20  0.94525  0.0500  0.100
  303  3.900  -27.10  0.94525  0.0500  0.100
  304  3.900  -27.00  0.94525  0.0500  0.100
  305  3.900  -26.90  0.94525  0.0500  0.100
