# Glikman et al. 2011 completeness in NDWFS field (1.71deg2) including spectroscopic incompleteness
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
    1  3.500  -26.83  0.00000  0.0200  0.050
    2  3.500  -26.78  0.00000  0.0200  0.050
    3  3.500  -26.73  0.00000  0.0200  0.050
    4  3.500  -26.68  0.00000  0.0200  0.050
    5  3.500  -26.63  0.00000  0.0200  0.050
    6  3.500  -26.58  0.00000  0.0200  0.050
    7  3.500  -26.53  0.00000  0.0200  0.050
    8  3.500  -26.48  0.00000  0.0200  0.050
    9  3.500  -26.43  0.00000  0.0200  0.050
   10  3.500  -26.38  0.00000  0.0200  0.050
   11  3.500  -26.33  0.00000  0.0200  0.050
   12  3.500  -26.28  0.00000  0.0200  0.050
   13  3.500  -26.23  0.00000  0.0200  0.050
   14  3.500  -26.18  0.00000  0.0200  0.050
   15  3.500  -26.13  0.00000  0.0200  0.050
   16  3.500  -26.08  0.00000  0.0200  0.050
   17  3.500  -26.03  0.00000  0.0200  0.050
   18  3.500  -25.98  0.00000  0.0200  0.050
   19  3.500  -25.93  0.00000  0.0200  0.050
   20  3.500  -25.88  0.00000  0.0200  0.050
   21  3.500  -25.83  0.00000  0.0200  0.050
   22  3.500  -25.78  0.00000  0.0200  0.050
   23  3.500  -25.73  0.00000  0.0200  0.050
   24  3.500  -25.68  0.00000  0.0200  0.050
   25  3.500  -25.63  0.00000  0.0200  0.050
   26  3.500  -25.58  0.00000  0.0200  0.050
   27  3.500  -25.53  0.00000  0.0200  0.050
   28  3.500  -25.48  0.00000  0.0200  0.050
   29  3.500  -25.43  0.00000  0.0200  0.050
   30  3.500  -25.38  0.00000  0.0200  0.050
   31  3.500  -25.33  0.00000  0.0200  0.050
   32  3.500  -25.28  0.00000  0.0200  0.050
   33  3.500  -25.23  0.00000  0.0200  0.050
   34  3.500  -25.18  0.00000  0.0200  0.050
   35  3.500  -25.13  0.00000  0.0200  0.050
   36  3.500  -25.08  0.00000  0.0200  0.050
   37  3.500  -25.03  0.00000  0.0200  0.050
   38  3.500  -24.98  0.00000  0.0200  0.050
   39  3.500  -24.93  0.00000  0.0200  0.050
   40  3.500  -24.88  0.00000  0.0200  0.050
   41  3.500  -24.83  0.00000  0.0200  0.050
   42  3.500  -24.78  0.00000  0.0200  0.050
   43  3.500  -24.73  0.00000  0.0200  0.050
   44  3.500  -24.68  0.00000  0.0200  0.050
   45  3.500  -24.63  0.00000  0.0200  0.050
   46  3.500  -24.58  0.00000  0.0200  0.050
   47  3.500  -24.53  0.00000  0.0200  0.050
   48  3.500  -24.48  0.00000  0.0200  0.050
   49  3.500  -24.43  0.00000  0.0200  0.050
   50  3.500  -24.38  0.00000  0.0200  0.050
   51  3.500  -24.33  0.00000  0.0200  0.050
   52  3.500  -24.28  0.00000  0.0200  0.050
   53  3.500  -24.23  0.00000  0.0200  0.050
   54  3.500  -24.18  0.00000  0.0200  0.050
   55  3.500  -24.13  0.00000  0.0200  0.050
   56  3.500  -24.08  0.00000  0.0200  0.050
   57  3.500  -24.03  0.00000  0.0200  0.050
   58  3.500  -23.98  0.00000  0.0200  0.050
   59  3.500  -23.93  0.00000  0.0200  0.050
   60  3.500  -23.88  0.00000  0.0200  0.050
   61  3.500  -23.83  0.00000  0.0200  0.050
   62  3.500  -23.78  0.00000  0.0200  0.050
