# Kashikawa et al. (2015, ApJ, 798, 28) selection function for Subaru High-z Quasar Survey (6.5deg2)
# provided by Nobunari Kashikawa
# cosmology is H_0=70km/s/Mpc, Omega_M=0.3, Omega_Lambda=0.7
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only at low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag
    1  5.600  -27.50  0.00000  0.0500  0.050
    2  5.600  -27.45  0.00000  0.0500  0.050
    3  5.600  -27.40  0.00000  0.0500  0.050
    4  5.600  -27.35  0.00000  0.0500  0.050
    5  5.600  -27.30  0.00000  0.0500  0.050
    6  5.600  -27.25  0.00000  0.0500  0.050
    7  5.600  -27.20  0.00000  0.0500  0.050
    8  5.600  -27.15  0.00000  0.0500  0.050
    9  5.600  -27.10  0.00000  0.0500  0.050
   10  5.600  -27.05  0.00000  0.0500  0.050
   11  5.600  -27.00  0.00000  0.0500  0.050
   12  5.600  -26.95  0.00000  0.0500  0.050
   13  5.600  -26.90  0.00000  0.0500  0.050
   14  5.600  -26.85  0.00000  0.0500  0.050
   15  5.600  -26.80  0.00000  0.0500  0.050
   16  5.600  -26.75  0.00000  0.0500  0.050
   17  5.600  -26.70  0.00000  0.0500  0.050
   18  5.600  -26.65  0.00000  0.0500  0.050
   19  5.600  -26.60  0.00000  0.0500  0.050
   20  5.600  -26.55  0.00000  0.0500  0.050
   21  5.600  -26.50  0.00000  0.0500  0.050
   22  5.600  -26.45  0.00000  0.0500  0.050
   23  5.600  -26.40  0.00000  0.0500  0.050
   24  5.600  -26.35  0.00000  0.0500  0.050
   25  5.600  -26.30  0.00000  0.0500  0.050
   26  5.600  -26.25  0.00000  0.0500  0.050
   27  5.600  -26.20  0.00000  0.0500  0.050
   28  5.600  -26.15  0.00000  0.0500  0.050
   29  5.600  -26.10  0.00000  0.0500  0.050
   30  5.600  -26.05  0.00000  0.0500  0.050
   31  5.600  -26.00  0.00000  0.0500  0.050
   32  5.600  -25.95  0.00000  0.0500  0.050
   33  5.600  -25.90  0.00000  0.0500  0.050
   34  5.600  -25.85  0.00000  0.0500  0.050
   35  5.600  -25.80  0.00000  0.0500  0.050
   36  5.600  -25.75  0.00000  0.0500  0.050
   37  5.600  -25.70  0.00000  0.0500  0.050
   38  5.600  -25.65  0.00000  0.0500  0.050
   39  5.600  -25.60  0.00000  0.0500  0.050
   40  5.600  -25.55  0.00000  0.0500  0.050
   41  5.600  -25.50  0.00000  0.0500  0.050
   42  5.600  -25.45  0.00000  0.0500  0.050
   43  5.600  -25.40  0.00000  0.0500  0.050
   44  5.600  -25.35  0.00000  0.0500  0.050
   45  5.600  -25.30  0.00000  0.0500  0.050
   46  5.600  -25.25  0.00000  0.0500  0.050
   47  5.600  -25.20  0.00000  0.0500  0.050
   48  5.600  -25.15  0.00000  0.0500  0.050
   49  5.600  -25.10  0.00000  0.0500  0.050
   50  5.600  -25.05  0.00000  0.0500  0.050
   51  5.600  -25.00  0.00000  0.0500  0.050
   52  5.600  -24.95  0.00000  0.0500  0.050
   53  5.600  -24.90  0.00000  0.0500  0.050
   54  5.600  -24.85  0.00000  0.0500  0.050
   55  5.600  -24.80  0.00000  0.0500  0.050
   56  5.600  -24.75  0.00000  0.0500  0.050
