# Stripe 82 selection function from McGreer et al. (2013)
# corrected for cosmology in M1450
# corrected for photometric and spectroscopic incompleteness
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
    1  4.525  -28.48  0.01425  0.0500  0.100
    2  4.525  -28.38  0.00475  0.0500  0.100
    3  4.525  -28.28  0.03325  0.0500  0.100
    4  4.525  -28.18  0.00950  0.0500  0.100
    5  4.525  -28.08  0.00475  0.0500  0.100
    6  4.525  -27.98  0.00000  0.0500  0.100
    7  4.525  -27.88  0.01425  0.0500  0.100
    8  4.525  -27.78  0.01425  0.0500  0.100
    9  4.525  -27.68  0.00950  0.0500  0.100
   10  4.525  -27.58  0.00000  0.0500  0.100
   11  4.525  -27.48  0.00475  0.0500  0.100
   12  4.525  -27.38  0.00475  0.0500  0.100
   13  4.525  -27.28  0.00000  0.0500  0.100
   14  4.525  -27.18  0.00475  0.0500  0.100
   15  4.525  -27.08  0.00475  0.0500  0.100
   16  4.525  -26.98  0.00000  0.0500  0.100
   17  4.525  -26.88  0.00000  0.0500  0.100
   18  4.525  -26.78  0.00475  0.0500  0.100
   19  4.525  -26.68  0.00475  0.0500  0.100
   20  4.525  -26.58  0.00000  0.0500  0.100
   21  4.525  -26.48  0.00000  0.0500  0.100
   22  4.525  -26.38  0.00475  0.0500  0.100
   23  4.525  -26.28  0.00000  0.0500  0.100
   24  4.525  -26.18  0.00475  0.0500  0.100
   25  4.525  -26.08  0.00950  0.0500  0.100
   26  4.525  -25.98  0.00950  0.0500  0.100
   27  4.525  -25.88  0.00000  0.0500  0.100
   28  4.525  -25.78  0.00000  0.0500  0.100
   29  4.525  -25.68  0.00426  0.0500  0.100
   30  4.525  -25.58  0.00000  0.0500  0.100
   31  4.525  -25.48  0.00000  0.0500  0.100
   32  4.525  -25.38  0.00000  0.0500  0.100
   33  4.525  -25.28  0.00000  0.0500  0.100
   34  4.525  -25.18  0.00000  0.0500  0.100
   35  4.525  -25.08  0.00000  0.0500  0.100
   36  4.525  -24.98  0.00000  0.0500  0.100
   37  4.525  -24.88  0.00000  0.0500  0.100
   38  4.525  -24.78  0.00000  0.0500  0.100
   39  4.525  -24.68  0.00000  0.0500  0.100
   40  4.525  -24.58  0.00000  0.0500  0.100
   41  4.525  -24.48  0.00000  0.0500  0.100
   42  4.525  -24.38  0.00379  0.0500  0.100
   43  4.525  -24.28  0.00000  0.0500  0.100
   44  4.525  -24.18  0.00303  0.0500  0.100
   45  4.525  -24.08  0.00000  0.0500  0.100
   46  4.525  -23.98  0.00000  0.0500  0.100
   47  4.525  -23.88  0.00000  0.0500  0.100
   48  4.525  -23.78  0.00000  0.0500  0.100
   49  4.525  -23.68  0.00000  0.0500  0.100
   50  4.525  -23.58  0.00000  0.0500  0.100
   51  4.525  -23.48  0.00000  0.0500  0.100
   52  4.525  -23.38  0.00000  0.0500  0.100
   53  4.525  -23.28  0.00000  0.0500  0.100
   54  4.575  -28.48  0.09500  0.0500  0.100
   55  4.575  -28.38  0.12350  0.0500  0.100
   56  4.575  -28.28  0.09025  0.0500  0.100
   57  4.575  -28.18  0.08075  0.0500  0.100
   58  4.575  -28.08  0.09025  0.0500  0.100
   59  4.575  -27.98  0.09975  0.0500  0.100
   60  4.575  -27.88  0.09025  0.0500  0.100
   61  4.575  -27.78  0.11400  0.0500  0.100
   62  4.575  -27.68  0.09975  0.0500  0.100
   63  4.575  -27.58  0.11400  0.0500  0.100
   64  4.575  -27.48  0.09500  0.0500  0.100
   65  4.575  -27.38  0.08550  0.0500  0.100
   66  4.575  -27.28  0.08550  0.0500  0.100
   67  4.575  -27.18  0.10450  0.0500  0.100
   68  4.575  -27.08  0.06175  0.0500  0.100
   69  4.575  -26.98  0.04275  0.0500  0.100
   70  4.575  -26.88  0.05700  0.0500  0.100
   71  4.575  -26.78  0.08075  0.0500  0.100
   72  4.575  -26.68  0.08075  0.0500  0.100
   73  4.575  -26.58  0.07125  0.0500  0.100
   74  4.575  -26.48  0.08075  0.0500  0.100
   75  4.575  -26.38  0.02850  0.0500  0.100
   76  4.575  -26.28  0.05700  0.0500  0.100
   77  4.575  -26.18  0.06175  0.0500  0.100
   78  4.575  -26.08  0.05225  0.0500  0.100
   79  4.575  -25.98  0.07600  0.0500  0.100
   80  4.575  -25.88  0.04466  0.0500  0.100
   81  4.575  -25.78  0.03050  0.0500  0.100
   82  4.575  -25.68  0.04260  0.0500  0.100
   83  4.575  -25.58  0.04181  0.0500  0.100
   84  4.575  -25.48  0.04536  0.0500  0.100
   85  4.575  -25.38  0.05317  0.0500  0.100
   86  4.575  -25.28  0.03672  0.0500  0.100
   87  4.575  -25.18  0.04503  0.0500  0.100
   88  4.575  -25.08  0.04126  0.0500  0.100
   89  4.575  -24.98  0.03338  0.0500  0.100
   90  4.575  -24.88  0.02954  0.0500  0.100
