# BOSS color selection function (Ross et al. 2013, ApJ, 773, 14)
# M1450 computed from imag with Beta's template,
# selection function corrected for mean spectroscopic completeness (fsc=0.962)
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
    1  2.025  -26.83  0.00000  0.0500  0.100
    2  2.025  -26.73  0.00000  0.0500  0.100
    3  2.025  -26.63  0.00000  0.0500  0.100
    4  2.025  -26.53  0.00000  0.0500  0.100
    5  2.025  -26.43  0.00000  0.0500  0.100
    6  2.025  -26.33  0.00000  0.0500  0.100
    7  2.025  -26.23  0.00000  0.0500  0.100
    8  2.025  -26.13  0.00000  0.0500  0.100
    9  2.025  -26.03  0.00462  0.0500  0.100
   10  2.025  -25.93  0.00000  0.0500  0.100
   11  2.025  -25.83  0.01010  0.0500  0.100
   12  2.025  -25.73  0.00000  0.0500  0.100
   13  2.025  -25.63  0.00000  0.0500  0.100
   14  2.025  -25.53  0.00000  0.0500  0.100
   15  2.025  -25.43  0.00491  0.0500  0.100
   16  2.025  -25.33  0.00000  0.0500  0.100
   17  2.025  -25.23  0.00000  0.0500  0.100
   18  2.025  -25.13  0.01058  0.0500  0.100
   19  2.025  -25.03  0.00000  0.0500  0.100
   20  2.025  -24.93  0.00577  0.0500  0.100
   21  2.025  -24.83  0.00000  0.0500  0.100
   22  2.025  -24.73  0.00000  0.0500  0.100
   23  2.025  -24.63  0.00000  0.0500  0.100
   24  2.025  -24.53  0.01174  0.0500  0.100
   25  2.025  -24.43  0.01116  0.0500  0.100
   26  2.025  -24.33  0.00000  0.0500  0.100
   27  2.025  -24.23  0.00000  0.0500  0.100
   28  2.025  -24.13  0.00000  0.0500  0.100
   29  2.025  -24.03  0.00000  0.0500  0.100
   30  2.025  -23.93  0.00000  0.0500  0.100
   31  2.025  -23.83  0.00000  0.0500  0.100
   32  2.025  -23.73  0.00000  0.0500  0.100
   33  2.025  -23.63  0.00827  0.0500  0.100
   34  2.025  -23.53  0.00481  0.0500  0.100
   35  2.025  -23.43  0.00491  0.0500  0.100
   36  2.025  -23.33  0.00991  0.0500  0.100
   37  2.025  -23.23  0.00491  0.0500  0.100
   38  2.025  -23.13  0.01405  0.0500  0.100
   39  2.025  -23.03  0.00000  0.0500  0.100
   40  2.025  -22.93  0.00000  0.0500  0.100
   41  2.025  -22.83  0.02184  0.0500  0.100
   42  2.025  -22.73  0.01077  0.0500  0.100
   43  2.025  -22.63  0.00000  0.0500  0.100
   44  2.025  -22.53  0.00895  0.0500  0.100
   45  2.075  -26.89  0.00000  0.0500  0.100
   46  2.075  -26.79  0.00000  0.0500  0.100
   47  2.075  -26.69  0.00000  0.0500  0.100
   48  2.075  -26.59  0.00000  0.0500  0.100
   49  2.075  -26.49  0.00000  0.0500  0.100
   50  2.075  -26.39  0.00000  0.0500  0.100
   51  2.075  -26.29  0.00000  0.0500  0.100
   52  2.075  -26.19  0.00462  0.0500  0.100
   53  2.075  -26.09  0.00000  0.0500  0.100
   54  2.075  -25.99  0.00000  0.0500  0.100
   55  2.075  -25.89  0.00462  0.0500  0.100
   56  2.075  -25.79  0.00481  0.0500  0.100
   57  2.075  -25.69  0.00000  0.0500  0.100
   58  2.075  -25.59  0.00000  0.0500  0.100
   59  2.075  -25.49  0.00000  0.0500  0.100
   60  2.075  -25.39  0.00529  0.0500  0.100
   61  2.075  -25.29  0.00510  0.0500  0.100
   62  2.075  -25.19  0.00587  0.0500  0.100
   63  2.075  -25.09  0.01741  0.0500  0.100
   64  2.075  -24.99  0.00000  0.0500  0.100
   65  2.075  -24.89  0.00529  0.0500  0.100
   66  2.075  -24.79  0.00000  0.0500  0.100
   67  2.075  -24.69  0.00577  0.0500  0.100
   68  2.075  -24.59  0.00654  0.0500  0.100
   69  2.075  -24.49  0.00577  0.0500  0.100
   70  2.075  -24.39  0.00000  0.0500  0.100
   71  2.075  -24.29  0.00000  0.0500  0.100
   72  2.075  -24.19  0.00000  0.0500  0.100
   73  2.075  -24.09  0.00529  0.0500  0.100
   74  2.075  -23.99  0.01328  0.0500  0.100
   75  2.075  -23.89  0.00471  0.0500  0.100
   76  2.075  -23.79  0.02655  0.0500  0.100
   77  2.075  -23.69  0.00000  0.0500  0.100
   78  2.075  -23.59  0.00000  0.0500  0.100
   79  2.075  -23.49  0.00914  0.0500  0.100
   80  2.075  -23.39  0.00933  0.0500  0.100
   81  2.075  -23.29  0.00924  0.0500  0.100
   82  2.075  -23.19  0.00481  0.0500  0.100
   83  2.075  -23.09  0.01510  0.0500  0.100
   84  2.075  -22.99  0.00481  0.0500  0.100
   85  2.075  -22.89  0.00500  0.0500  0.100
   86  2.075  -22.79  0.00962  0.0500  0.100
   87  2.075  -22.69  0.00529  0.0500  0.100
   88  2.075  -22.59  0.00683  0.0500  0.100
   89  2.125  -26.95  0.00000  0.0500  0.100
   90  2.125  -26.85  0.00000  0.0500  0.100
   91  2.125  -26.75  0.00000  0.0500  0.100
   92  2.125  -26.65  0.00000  0.0500  0.100
   93  2.125  -26.55  0.00000  0.0500  0.100
   94  2.125  -26.45  0.00510  0.0500  0.100
   95  2.125  -26.35  0.00000  0.0500  0.100
   96  2.125  -26.25  0.00000  0.0500  0.100
   97  2.125  -26.15  0.00991  0.0500  0.100
   98  2.125  -26.05  0.00924  0.0500  0.100
   99  2.125  -25.95  0.00000  0.0500  0.100
  100  2.125  -25.85  0.00000  0.0500  0.100
  101  2.125  -25.75  0.00962  0.0500  0.100
  102  2.125  -25.65  0.00000  0.0500  0.100
  103  2.125  -25.55  0.00000  0.0500  0.100
  104  2.125  -25.45  0.01760  0.0500  0.100
  105  2.125  -25.35  0.01414  0.0500  0.100
  106  2.125  -25.25  0.01049  0.0500  0.100
  107  2.125  -25.15  0.01145  0.0500  0.100
  108  2.125  -25.05  0.01106  0.0500  0.100
  109  2.125  -24.95  0.01684  0.0500  0.100
  110  2.125  -24.85  0.02896  0.0500  0.100
  111  2.125  -24.75  0.01289  0.0500  0.100
  112  2.125  -24.65  0.01645  0.0500  0.100
  113  2.125  -24.55  0.02761  0.0500  0.100
  114  2.125  -24.45  0.02876  0.0500  0.100
  115  2.125  -24.35  0.02559  0.0500  0.100
  116  2.125  -24.25  0.02213  0.0500  0.100
  117  2.125  -24.15  0.01991  0.0500  0.100
  118  2.125  -24.05  0.01462  0.0500  0.100
  119  2.125  -23.95  0.02588  0.0500  0.100
  120  2.125  -23.85  0.00875  0.0500  0.100
  121  2.125  -23.75  0.00500  0.0500  0.100
  122  2.125  -23.65  0.00462  0.0500  0.100
  123  2.125  -23.55  0.02886  0.0500  0.100
  124  2.125  -23.45  0.00510  0.0500  0.100
  125  2.125  -23.35  0.01539  0.0500  0.100
  126  2.125  -23.25  0.02549  0.0500  0.100
  127  2.125  -23.15  0.02549  0.0500  0.100
  128  2.125  -23.05  0.02799  0.0500  0.100
  129  2.125  -22.95  0.02126  0.0500  0.100
  130  2.125  -22.85  0.01905  0.0500  0.100
  131  2.125  -22.75  0.00462  0.0500  0.100
  132  2.125  -22.65  0.00587  0.0500  0.100
  133  2.175  -27.00  0.00000  0.0500  0.100
  134  2.175  -26.90  0.00000  0.0500  0.100
  135  2.175  -26.80  0.00000  0.0500  0.100
  136  2.175  -26.70  0.02799  0.0500  0.100
  137  2.175  -26.60  0.02549  0.0500  0.100
  138  2.175  -26.50  0.02463  0.0500  0.100
  139  2.175  -26.40  0.05272  0.0500  0.100
  140  2.175  -26.30  0.03319  0.0500  0.100
  141  2.175  -26.20  0.04396  0.0500  0.100
  142  2.175  -26.10  0.04464  0.0500  0.100
  143  2.175  -26.00  0.05089  0.0500  0.100
  144  2.175  -25.90  0.04666  0.0500  0.100
  145  2.175  -25.80  0.05984  0.0500  0.100
  146  2.175  -25.70  0.07128  0.0500  0.100
  147  2.175  -25.60  0.03896  0.0500  0.100
