# Willott et al. (2010) selection function for CFHQS Deep Survey (4.47deg2)
# corrected for cosmology in M1450
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only at low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag
    1  5.700  -29.00  0.03090  0.0250  0.100
    2  5.700  -28.90  0.03090  0.0250  0.100
    3  5.700  -28.80  0.03090  0.0250  0.100
    4  5.700  -28.70  0.03090  0.0250  0.100
    5  5.700  -28.60  0.03090  0.0250  0.100
    6  5.700  -28.50  0.03090  0.0250  0.100
    7  5.700  -28.40  0.03090  0.0250  0.100
    8  5.700  -28.30  0.03090  0.0250  0.100
    9  5.700  -28.20  0.03090  0.0250  0.100
   10  5.700  -28.10  0.03090  0.0250  0.100
   11  5.700  -28.00  0.03090  0.0250  0.100
   12  5.700  -27.90  0.03090  0.0250  0.100
   13  5.700  -27.80  0.03090  0.0250  0.100
   14  5.700  -27.70  0.03090  0.0250  0.100
   15  5.700  -27.60  0.03090  0.0250  0.100
   16  5.700  -27.50  0.03090  0.0250  0.100
   17  5.700  -27.40  0.03090  0.0250  0.100
   18  5.700  -27.30  0.03090  0.0250  0.100
   19  5.700  -27.20  0.03090  0.0250  0.100
   20  5.700  -27.10  0.03090  0.0250  0.100
   21  5.700  -27.00  0.03090  0.0250  0.100
   22  5.700  -26.90  0.03090  0.0250  0.100
   23  5.700  -26.80  0.03090  0.0250  0.100
   24  5.700  -26.70  0.03090  0.0250  0.100
   25  5.700  -26.60  0.03090  0.0250  0.100
   26  5.700  -26.50  0.03090  0.0250  0.100
   27  5.700  -26.40  0.03090  0.0250  0.100
   28  5.700  -26.30  0.03090  0.0250  0.100
   29  5.700  -26.20  0.03090  0.0250  0.100
   30  5.700  -26.10  0.03090  0.0250  0.100
   31  5.700  -26.00  0.03090  0.0250  0.100
   32  5.700  -25.90  0.03090  0.0250  0.100
   33  5.700  -25.80  0.03090  0.0250  0.100
   34  5.700  -25.70  0.03090  0.0250  0.100
   35  5.700  -25.60  0.03080  0.0250  0.100
   36  5.700  -25.50  0.03060  0.0250  0.100
   37  5.700  -25.40  0.03010  0.0250  0.100
   38  5.700  -25.30  0.02880  0.0250  0.100
   39  5.700  -25.20  0.02680  0.0250  0.100
   40  5.700  -25.10  0.02460  0.0250  0.100
   41  5.700  -25.00  0.02310  0.0250  0.100
   42  5.700  -24.90  0.02190  0.0250  0.100
   43  5.700  -24.80  0.02060  0.0250  0.100
   44  5.700  -24.70  0.01940  0.0250  0.100
   45  5.700  -24.60  0.01880  0.0250  0.100
   46  5.700  -24.50  0.01970  0.0250  0.100
   47  5.700  -24.40  0.02140  0.0250  0.100
   48  5.700  -24.30  0.02300  0.0250  0.100
   49  5.700  -24.20  0.02380  0.0250  0.100
   50  5.700  -24.10  0.02370  0.0250  0.100
   51  5.700  -24.00  0.02230  0.0250  0.100
   52  5.700  -23.90  0.02050  0.0250  0.100
   53  5.700  -23.80  0.01980  0.0250  0.100
   54  5.700  -23.70  0.02050  0.0250  0.100
   55  5.700  -23.60  0.02160  0.0250  0.100
