# Yang et al. 2016, ApJ, 829, 33; selection function (their Fig 5) provided by Jinyi Yang
# corrected to cosmology H_0=70km/s/Mpc, Omega_M=0.3, Omega_Lambda=0.7
# color selection function (Fig 5) corrected for image selection incompleteness (factor 0.97) and spectroscopic incompleteness (0.84 at zmag>19)
# listed below are total completeness values
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
    1  4.325  -29.38  0.00000  0.0500  0.100
    2  4.325  -29.28  0.00469  0.0500  0.100
    3  4.325  -29.18  0.00000  0.0500  0.100
    4  4.325  -29.08  0.00000  0.0500  0.100
    5  4.325  -28.98  0.00000  0.0500  0.100
    6  4.325  -28.88  0.00000  0.0500  0.100
    7  4.325  -28.78  0.00000  0.0500  0.100
    8  4.325  -28.68  0.00000  0.0500  0.100
    9  4.325  -28.58  0.00000  0.0500  0.100
   10  4.325  -28.48  0.00000  0.0500  0.100
   11  4.325  -28.38  0.00000  0.0500  0.100
   12  4.325  -28.28  0.00000  0.0500  0.100
   13  4.325  -28.18  0.00000  0.0500  0.100
   14  4.325  -28.08  0.00000  0.0500  0.100
   15  4.325  -27.98  0.00000  0.0500  0.100
   16  4.325  -27.88  0.00000  0.0500  0.100
   17  4.325  -27.78  0.00000  0.0500  0.100
   18  4.325  -27.68  0.00000  0.0500  0.100
   19  4.325  -27.58  0.00000  0.0500  0.100
   20  4.325  -27.48  0.00000  0.0500  0.100
   21  4.325  -27.38  0.00000  0.0500  0.100
   22  4.325  -27.28  0.00000  0.0500  0.100
   23  4.325  -27.18  0.00000  0.0500  0.100
   24  4.325  -27.08  0.00000  0.0500  0.100
   25  4.325  -26.98  0.00000  0.0500  0.100
   26  4.325  -26.88  0.00000  0.0500  0.100
   27  4.325  -26.78  0.00000  0.0500  0.100
   28  4.325  -26.68  0.00000  0.0500  0.100
   29  4.325  -26.58  0.00000  0.0500  0.100
   30  4.325  -26.48  0.00000  0.0500  0.100
   31  4.325  -26.38  0.00000  0.0500  0.100
   32  4.325  -26.28  0.00000  0.0500  0.100
   33  4.325  -26.18  0.00000  0.0500  0.100
   34  4.325  -26.08  0.00000  0.0500  0.100
   35  4.325  -25.98  0.00000  0.0500  0.100
   36  4.325  -25.88  0.00000  0.0500  0.100
   37  4.325  -25.78  0.00000  0.0500  0.100
   38  4.325  -25.68  0.00000  0.0500  0.100
   39  4.325  -25.58  0.00000  0.0500  0.100
   40  4.325  -25.48  0.00000  0.0500  0.100
   41  4.325  -25.38  0.00000  0.0500  0.100
   42  4.325  -25.28  0.00000  0.0500  0.100
   43  4.325  -25.18  0.00000  0.0500  0.100
   44  4.325  -25.08  0.00000  0.0500  0.100
   45  4.325  -24.98  0.00000  0.0500  0.100
   46  4.375  -29.38  0.00000  0.0500  0.100
   47  4.375  -29.28  0.00000  0.0500  0.100
   48  4.375  -29.18  0.00000  0.0500  0.100
   49  4.375  -29.08  0.00000  0.0500  0.100
   50  4.375  -28.98  0.00000  0.0500  0.100
   51  4.375  -28.88  0.00000  0.0500  0.100
   52  4.375  -28.78  0.00000  0.0500  0.100
   53  4.375  -28.68  0.00000  0.0500  0.100
   54  4.375  -28.58  0.00000  0.0500  0.100
   55  4.375  -28.48  0.00000  0.0500  0.100
   56  4.375  -28.38  0.00000  0.0500  0.100
   57  4.375  -28.28  0.00000  0.0500  0.100
   58  4.375  -28.18  0.00000  0.0500  0.100
   59  4.375  -28.08  0.00000  0.0500  0.100
   60  4.375  -27.98  0.00000  0.0500  0.100
   61  4.375  -27.88  0.00000  0.0500  0.100
   62  4.375  -27.78  0.00000  0.0500  0.100
   63  4.375  -27.68  0.00000  0.0500  0.100
   64  4.375  -27.58  0.00000  0.0500  0.100
   65  4.375  -27.48  0.00000  0.0500  0.100
   66  4.375  -27.38  0.00000  0.0500  0.100
   67  4.375  -27.28  0.00000  0.0500  0.100
   68  4.375  -27.18  0.00000  0.0500  0.100
   69  4.375  -27.08  0.00473  0.0500  0.100
   70  4.375  -26.98  0.00000  0.0500  0.100
   71  4.375  -26.88  0.00000  0.0500  0.100
   72  4.375  -26.78  0.00000  0.0500  0.100
   73  4.375  -26.68  0.00000  0.0500  0.100
   74  4.375  -26.58  0.00000  0.0500  0.100
   75  4.375  -26.48  0.00000  0.0500  0.100
   76  4.375  -26.38  0.00000  0.0500  0.100
   77  4.375  -26.28  0.00000  0.0500  0.100
   78  4.375  -26.18  0.00000  0.0500  0.100
   79  4.375  -26.08  0.00000  0.0500  0.100
   80  4.375  -25.98  0.00000  0.0500  0.100
   81  4.375  -25.88  0.00000  0.0500  0.100
   82  4.375  -25.78  0.00000  0.0500  0.100
   83  4.375  -25.68  0.00000  0.0500  0.100
   84  4.375  -25.58  0.00000  0.0500  0.100
   85  4.375  -25.48  0.00000  0.0500  0.100
   86  4.375  -25.38  0.00000  0.0500  0.100
   87  4.375  -25.28  0.00000  0.0500  0.100
   88  4.375  -25.18  0.00000  0.0500  0.100
   89  4.375  -25.08  0.00000  0.0500  0.100
   90  4.375  -24.98  0.00000  0.0500  0.100
   91  4.425  -29.38  0.00475  0.0500  0.100
   92  4.425  -29.28  0.01128  0.0500  0.100
   93  4.425  -29.18  0.00478  0.0500  0.100
   94  4.425  -29.08  0.00478  0.0500  0.100
   95  4.425  -28.98  0.00545  0.0500  0.100
   96  4.425  -28.88  0.01335  0.0500  0.100
   97  4.425  -28.78  0.00000  0.0500  0.100
   98  4.425  -28.68  0.00000  0.0500  0.100
   99  4.425  -28.58  0.00000  0.0500  0.100
  100  4.425  -28.48  0.00497  0.0500  0.100
  101  4.425  -28.38  0.00000  0.0500  0.100
  102  4.425  -28.28  0.00960  0.0500  0.100
  103  4.425  -28.18  0.00000  0.0500  0.100
  104  4.425  -28.08  0.00508  0.0500  0.100
  105  4.425  -27.98  0.00000  0.0500  0.100
  106  4.425  -27.88  0.00551  0.0500  0.100
  107  4.425  -27.78  0.00000  0.0500  0.100
  108  4.425  -27.68  0.00000  0.0500  0.100
  109  4.425  -27.58  0.00000  0.0500  0.100
  110  4.425  -27.48  0.00499  0.0500  0.100
  111  4.425  -27.38  0.00494  0.0500  0.100
  112  4.425  -27.28  0.00546  0.0500  0.100
  113  4.425  -27.18  0.00000  0.0500  0.100
  114  4.425  -27.08  0.00000  0.0500  0.100
  115  4.425  -26.98  0.00483  0.0500  0.100
